idiom,explanation,original_sentence,original_paraphrase
屑一顾,理睬,然而纵然如此，多数西方文化人也没有听从亨廷顿的告诫，继续对别的文明不屑一顾又武断揣测。,然而纵然如此，多数西方文化人也没有听从亨廷顿的告诫，继续对别的文明不理睬又武断揣测。
风,很,清早出门的时候还风平浪静，晚上回来，地雷就炸了。,清早出门的时候还很平静，晚上回来，地雷就炸了。
一无二,特,所有美丽的女人都不再能引动他的幻想，他只幻想独一无二的那张面庞、那道身影，幻想着那片笑声随时会从哪儿钻出来，那缕气息于是扑面而来。,所有美丽的女人都不再能引动他的幻想，他只幻想独特的那张面庞、那道身影，幻想着那片笑声随时会从哪儿钻出来，那缕气息于是扑面而来。
起平坐,等,她本是大赤包的“门徒”，现在她可是和大赤包能平起平坐了，所以感到自傲。,她本是大赤包的“门徒”，现在她可是和大赤包能地位平等了，所以感到自傲
往今来,代到现在,大哥说，这么说，古往今来，多少圣贤豪杰都是行尸走肉了！,大哥说，这么说，从古代到现在，多少圣贤豪杰都是糊涂一生了！
无与伦,没法,四年之后，这个十三岁的少年用他无与伦比的智慧挽救了自己，他不再狂暴。,四年之后，这个十三岁的少年用他没法比较的智慧挽救了自己，他不再狂暴。
正襟危坐的,紧张地端庄着,休息区里的盲人正拥挤在一起，一个个正襟危坐的。,休息区里的盲人正拥挤在一起，一个个紧张地端庄着。
顺,很有道,而无论是怎样评论吧，都不能改变它的曾经存在，只有从偶然中寻找必然，使它顺理成章。,而无论是怎样评论吧，都不能改变它的曾经存在，只有从偶然中寻找必然，使它很有道理。
命中,天生,'梁山伯与祝英台，前世姻缘配拢来'，咱俩就是这样儿，前世的姻缘，命中注定让我碰上你，就是两人变成蝴蝶儿也不分开！,'梁山伯与祝英台，前世姻缘配拢来'，咱俩就是这样儿，前世的姻缘，天生注定让我碰上你，就是两人变成蝴蝶儿也不分开！
凛凛相貌堂堂,和帅气,树后面闪出一位武装同志来，端着枪，威风凛凛，相貌堂堂。,树后面闪出一位武装同志来，端着枪，很威风和帅气。
满天飞,到处走动,挂着“总经理”、“董事长”等等头衔的名片满天飞，其中有些单位的全部人马就是“总经理”自己一个人——他们的“公司”就在腋下的皮包里装着。,挂着“总经理”、“董事长”等等头衔的名片到处走动，其中有些单位的全部人马就是“总经理”自己一个人——他们的“公司”就在腋下的皮包里装着。
一览无余地,全都,他那丑陋的牙齿和发青的牙床一览无余地暴露出来，他脸颊的颜色由青转红，血在他体内充沛地回升，我几乎要看到几年前那个又丑陋又落拓不羁被大多数人所指责的马孔多了。,他那丑陋的牙齿和发青的牙床全都暴露出来，他脸颊的颜色由青转红，血在他体内充沛地回升，我几乎要看到几年前那个又丑陋又散漫被大多数人所指责的马孔多了。
着头脑,理解,组织部三番五次找老张谈话，他摸不着头脑，局里人议论纷纷。,组织部频繁找老张谈话，他不理解，局里人议论。
终身,一辈子,“大概是想着俚自家格终身大事。”,“大概是想着俚自家格一辈子大事
信以,认,影响，对于这个假定，信以为真，这是很可怪的。,影响，对于这个假定，认为是真的，这是很可怪的。
大,吃,狗二哥大惊失色地说：小四，你好大的胆子，这要让西门金龙知道了，非用,狗二哥吃惊地说：小四，你好大的胆子，这要让西门金龙知道了，非用
戛然而,停,但到了庙前，他们的呐喊也戛然而止，装扮漂亮的花车，宛如一个移动的花棺材，从我们面前游过去。,但到了庙前，他们的呐喊也停止，装扮漂亮的花车，宛如一个移动的花棺材，从我们面前游过去。
所作所,行,除去你的所作所为，还存在于你的所思所欲之中。,除去你的行为，还存在于你的所思所欲之中。
一,每,之为一切人类关系之本，也极端重视对父母的孝道，以及一年一度省视祖墓的风尚，祖先的,之为一切人类关系之本，也极端重视对父母的孝道，以及每年省视祖墓的风尚，祖先的
水马龙,多,“我送你去喊车━━”“不用了，我想走一走━━”也是黄昏，我走在高楼大厦车水马龙的街上，热热暖暖的风吹拂过我的旧长裙，我没有喊车，慢慢的走了下去。,“我送你去喊车━━”“不用了，我想走一走━━”也是黄昏，我走在楼高车多的街上，热热暖暖的风吹拂过我的旧长裙，我没有喊车，慢慢的走了下去。
蠢蠢欲,躁,我沾亲带故，都期待着，兴奋，惴惴不安，蠢蠢欲动，磨牙顿爪。,我有关系，都期待着，兴奋，恐慌，躁动，磨牙顿爪。
天黑地,暗,他们不知是厮打还是亲热，或许又是厮打又是亲热，一时上，昏天黑地，什么都退去了，只有一股无名的狂躁。,他们不知是厮打还是亲热，或许又是厮打又是亲热，一时上，昏暗，什么都退去了，只有一股无名的狂躁。
念有词,叨,我口中念念有词，调动我的定力来拴住自己的感情，满面含笑，大讲苏东坡的词：“月有阴晴圆缺，人有悲欢离合，此事古难全”。,我口中念叨，调动我的定力来拴住自己的感情，满面含笑，大讲苏东坡的词：“月有阴晴圆缺，人有悲伤欢乐离别团聚，此事古难全”。
合,别团聚,我口中念念有词，调动我的定力来拴住自己的感情，满面含笑，大讲苏东坡的词：“月有阴晴圆缺，人有悲欢离合，此事古难全”。,我口中念叨，调动我的定力来拴住自己的感情，满面含笑，大讲苏东坡的词：“月有阴晴圆缺，人有悲伤欢乐离别团聚，此事古难全”。
难以置,不相,一个不苟言笑的人竟会把最灿烂而危险的金黄色驾驭得如此纯熟自如，真令人难以置信。,一个严肃的人竟会把最灿烂而危险的金黄色驾驭得如此纯熟自如，真令人不相信。
耀武扬,耍,猪蛋耀武扬威，拿着曹丞相发给他的一个红箍，做着我们村的“新军”头目，整日在尘土飞扬的大道上或打麦场上操练我们。,猪蛋耍威风，拿着曹丞相发给他的一个红箍，做着我们村的“新军”头目，整日在尘土飞扬的大道上或打麦场上操练我们。
稀奇古,少而,这事真是稀奇古怪，开了老娘的眼界。,这事真是少而怪异，开了老娘的眼界。
视同仁,样对待,可是，鹏图，你明天替我电汇给他一笔钱，表示我对你们三兄弟一视同仁，免得将来老大怪父母不公平。”,可是，鹏图，你明天替我电汇给他一笔钱，表示我对你们三兄弟一样对待，免得将来老大怪父母不公平。”
质彬彬,化,可以说是行礼如仪，鞠躬如也——很难令人相信这个文质彬彬的老翁，就是手握帮会中每个人的生死大权的人，他那个帮会的势力囊括自山东到上海一带，他的话就是法律，言出必行，号令如山。,可以说是行礼如仪，鞠躬如也——很难令人相信这个有文化的老翁，就是手握帮会中每个人的生死大权的人，他那个帮会的势力囊括自山东到上海一带，他的话就是法律，言出必行，命令不会更改。
号,命,可以说是行礼如仪，鞠躬如也——很难令人相信这个文质彬彬的老翁，就是手握帮会中每个人的生死大权的人，他那个帮会的势力囊括自山东到上海一带，他的话就是法律，言出必行，号令如山。,可以说是行礼如仪，鞠躬如也——很难令人相信这个有文化的老翁，就是手握帮会中每个人的生死大权的人，他那个帮会的势力囊括自山东到上海一带，他的话就是法律，言出必行，命令不会更改。
如山,不会更改,可以说是行礼如仪，鞠躬如也——很难令人相信这个文质彬彬的老翁，就是手握帮会中每个人的生死大权的人，他那个帮会的势力囊括自山东到上海一带，他的话就是法律，言出必行，号令如山。,可以说是行礼如仪，鞠躬如也——很难令人相信这个有文化的老翁，就是手握帮会中每个人的生死大权的人，他那个帮会的势力囊括自山东到上海一带，他的话就是法律，言出必行，命令不会更改。
波逐,大,天下每个人都曾经敢作敢为，但又都会告别少年，渐渐地随波逐流。,天下每个人都曾经做事无畏，但又都会告别少年，渐渐地随大流。
自暴自,放,女青年章秋柳想竭力振作，追求光明，但又自暴自弃，把追求享乐和肉欲刺激作为她向她所厌恶的现实报复的手段。,女青年章秋柳想竭力振作，追求光明，但又放弃，把追求享乐和肉欲刺激作为她向她所厌恶的现实报复的手段。
门,实力相,他们叫你随便就丢掉她，再娶一个门当户对的阔小姐来配你，对不,他们叫你随便就丢掉她，再娶一个实力相当的阔小姐来配你，对不
徇私枉,违反,“钱年兄，”知府的脸上，又出现了亲切关怀的表情，他用一种类似于语重心长的腔调说，“你我同食国家俸禄，同受皇太后、皇上隆恩，应该尽心办事，方能对得起自己的良心；倘若为了一己私情，徇私枉法，玩忽职守，那可就……”,钱年兄，”知府的脸上，又出现了亲切关怀的表情，他用一种类似于有分量的腔调说，“你我同食国家俸禄，同受皇太后、皇上隆恩，应该尽心办事，方能对得起自己的良心；倘若为了一己私情，违反法律，工作失职，那可就……”
玩忽,工作失,“钱年兄，”知府的脸上，又出现了亲切关怀的表情，他用一种类似于语重心长的腔调说，“你我同食国家俸禄，同受皇太后、皇上隆恩，应该尽心办事，方能对得起自己的良心；倘若为了一己私情，徇私枉法，玩忽职守，那可就……”,钱年兄，”知府的脸上，又出现了亲切关怀的表情，他用一种类似于有分量的腔调说，“你我同食国家俸禄，同受皇太后、皇上隆恩，应该尽心办事，方能对得起自己的良心；倘若为了一己私情，违反法律，工作失职，那可就……”
绵不断,续,连绵不断的秋雨刷刷地下着，城市一直笼罩在阴冷的水雾之中。,连续的秋雨刷刷地下着，城市一直笼罩在阴冷的水雾之中。
相,认,我百思难解她为什么要打我，因为我和她素不相识，她打我之前五十分钟我在“太平洋冷饮店”北边的树荫下逐一看着挂在低垂的树权上的鸟笼子和笼子里的画眉，鸟笼子大同小异，画眉也大同小异，笼子的布罩都是深色的。,我百思难解她为什么要打我，因为我和她不认识，她打我之前五十分钟我在“太平洋冷饮店”北边的树荫下逐一看着挂在低垂的树权上的鸟笼子和笼子里的画眉，鸟笼子大体相同，画眉也大体相同，笼子的布罩都是深色的。
装模,做,做什么要装模作样，化为一只枯叶蝶，最后也还是被售，反而不如那翅膀两面都光彩夺目的蝴蝶到处飞翔，被捕捉而又生生不息。,做什么要做作，化为一只枯叶蝶，最后也还是被售，反而不如那翅膀两面都有光彩的蝴蝶到处飞翔，被捕捉而又不停止。
息,停止,做什么要装模作样，化为一只枯叶蝶，最后也还是被售，反而不如那翅膀两面都光彩夺目的蝴蝶到处飞翔，被捕捉而又生生不息。,做什么要做作，化为一只枯叶蝶，最后也还是被售，反而不如那翅膀两面都有光彩的蝴蝶到处飞翔，被捕捉而又不停止。
热,流眼,奶奶暗呼苍天，一阵类似幸福的强烈震颤冲激得奶奶热泪盈眶。,奶奶暗呼苍天，一阵类似幸福的强烈震颤冲激得奶奶流眼泪。
眉,长相,眉清目秀，趣青的须毛都还没有长老，头上的长发梳得十分妥贴，透著一阵阵贝林的甜香。,长相清秀，趣青的须毛都还没有长老，头上的长发梳得十分妥贴，透著一阵阵贝林的甜香。
希奇,少而,我一生中到过许多希奇古怪的去处，过了许多式样不同的桥，坐过许多式样不同的船，还睡过许多式样不同的床。,我一生中到过许多少而古怪的去处，过了许多式样不同的桥，坐过许多式样不同的船，还睡过许多式样不同的床。
勃然大,愤,田一申也是借醉撒疯，勃然大怒，骂蔡大安有意伤他脸，两厢就骂开来，将往日的仇怨全喷吐于众，末了就扑在一起厮打，连酒桌都掀翻了。,田一申也是借醉撒疯，愤怒，骂蔡大安有意伤他脸，两厢就骂开来，将往日的仇怨全喷吐于众，末了就扑在一起厮打，连酒桌都掀翻了。
聊赖,目的,有一天，百无聊赖地到一个小书摊看连环画，正巧看到这一本。,有一天，无目的地到一个小书摊看连环画，正巧看到这一本。
志,意,梯子搬掉，他端详着壁上的钟，踌躇满志，对儿子说：“其实还可以高一点——让它去罢，别再动它了。,梯子搬掉，他端详着壁上的钟，满意，对儿子说：“其实还可以高一点——让它去罢，别再动它了。
破天荒,难得,小轱辘子开了头，五叔也破天荒地讲了个故事，我猜测着五叔这故事是讲给出钱买花生的于大身听的。,小轱辘子开了头，五叔也难得地讲了个故事，我猜测着五叔这故事是讲给出钱买花生的于大身听的。
指,对着姓,他们正当年轻之时，一个个热血沸腾；甚至指名道姓骂起了江青！,他们正当年轻之时，一个个有激情；甚至对着姓名骂起了江青！
刮目相,重新,当我带着新的经历、新的感觉回到你的身边时，一定会令你刮目相看。,当我带着新的经历、新的感觉回到你的身边时，一定会令你重新看待。
是,对,这些人家不肯近前一步，嘁嘁啾啾又都不出高声，心里明白这虽事关集体大事，却也是夏家人自己的争吵，谁是谁非，无法帮这个损那个，事情一过，夏家毕竟还是夏家。,这些人家不肯近前一步，嘁嘁啾啾又都不出高声，心里明白这虽事关集体大事，却也是夏家人自己的争吵，谁对谁错，无法帮这个损那个，事情一过，夏家毕竟还是夏家。
非,错,这些人家不肯近前一步，嘁嘁啾啾又都不出高声，心里明白这虽事关集体大事，却也是夏家人自己的争吵，谁是谁非，无法帮这个损那个，事情一过，夏家毕竟还是夏家。,这些人家不肯近前一步，嘁嘁啾啾又都不出高声，心里明白这虽事关集体大事，却也是夏家人自己的争吵，谁对谁错，无法帮这个损那个，事情一过，夏家毕竟还是夏家。
火朝天,闹,包房里有四个人，麻将正打得热火朝天。,房里有四个人，麻将正打得热闹。
生龙,有,他却肯亲自吻这团生龙活虎般的烈火，火光一照，化腐臭为神奇，遍地开满了春花，难怪他天天惊异着，难怪他的眼睛跟希腊雕像的眼睛相似，希腊人的生活就是像他这样吻着人生的火，歌唱出人生的神奇。,他却肯亲自吻这团有活力般的烈火，火光一照，化腐臭为神奇，遍地开满了春花，难怪他天天惊异着，难怪他的眼睛跟希腊雕像的眼睛相似，希腊人的生活就是像他这样吻着人生的火，歌唱出人生的神奇。
虎,力,他却肯亲自吻这团生龙活虎般的烈火，火光一照，化腐臭为神奇，遍地开满了春花，难怪他天天惊异着，难怪他的眼睛跟希腊雕像的眼睛相似，希腊人的生活就是像他这样吻着人生的火，歌唱出人生的神奇。,他却肯亲自吻这团有活力般的烈火，火光一照，化腐臭为神奇，遍地开满了春花，难怪他天天惊异着，难怪他的眼睛跟希腊雕像的眼睛相似，希腊人的生活就是像他这样吻着人生的火，歌唱出人生的神奇。
埋头,刻,由学徒升为师傅后，他一边克勤克俭地埋头苦干，一边利用工作之暇造风帆。,由学徒升为师傅后，他一边勤俭地刻苦工作，一边利用工作之暇造风帆。
干,工作,由学徒升为师傅后，他一边克勤克俭地埋头苦干，一边利用工作之暇造风帆。,由学徒升为师傅后，他一边勤俭地刻苦工作，一边利用工作之暇造风帆。
天高地,深,可是做孩子的我们，哪懂那些天高地厚的道理，当我从中兴轮上下来，进了台北建国北路那幢小小的日式房子，发觉每一个人都要脱鞋才能上榻榻米的地时，简直没将我高兴得发狂，跟著堂哥和姐姐尽情的又叫又跳，又低头看著自己完全释放的光脚丫，真是自由得心花怒放，又记得为了大家打赤足，堂哥竟乱叫著∶“解放了！,可是做孩子的我们，哪懂那些深厚的道理，当我从中兴轮上下来，进了台北建国北路那幢小小的日式房子，发觉每一个人都要脱鞋才能上榻榻米的地时，简直没将我高兴得发狂，跟著堂哥和姐姐尽情的又叫又跳，又低头看著自己完全释放的光脚丫，真是自由得欢喜，又记得为了大家打赤足，堂哥竟乱叫著∶“解放了！
截了当,接,说起哥伦比亚这个国家时，参考书中除了详尽的历史地理和风土人情介绍之外，竟然直截了当的唤它“强盗国家”。,说起哥伦比亚这个国家时，参考书中除了详尽的历史地理和当地特色介绍之外，竟然直接的唤它“强盗国家”。
左,反复,老汉左思右想，觉得这件事不能再拖了。,老汉反复思考，觉得这件事不能再拖了。
右想,考,老汉左思右想，觉得这件事不能再拖了。,老汉反复思考，觉得这件事不能再拖了。
惶失措,慌,人，已经聚得很多了，看热闹的样子，不像惊惶失措得像一群绵羊似的挤著推去，那么多的人，却一点声息都没有。,人，已经聚得很多了，看热闹的样子，不像惊慌得像一群绵羊似的挤著推去，那么多的人，却一点声息都没有。
自拔,控制,一旦当她第一次对一个男人产生了热烈的爱情，就会深陷进去而不能自拔。,一旦当她第一次对一个男人产生了热烈的爱情，就会深陷进去而不能控制。
头面,代表,人们先是聚齐在大队部的院子里，等待着支部书记和大队的头面人物出,人们先是聚齐在大队部的院子里，等待着支部书记和大队的代表人物出
不失时,抓住,围绕着方桌的四条长凳由规整的四边形扩展成多边形，莫言不失时机地卖弄：,围绕着方桌的四条长凳由规整的四边形扩展成多边形，莫言抓住机会地卖弄：
嫣然一,微,秋芳嫣然一笑，用那空着的手轻轻抚着民治的肩膀，曼声说：“现在，你说，说一句心里话，我这人，如何？”,秋芳微笑，用那空着的手轻轻抚着民治的肩膀，曼声说：“现在，你说，说一句心里话，我这人，如何？”
绝,断,他的工作为人民公园带来了声誉也带来了经济效益（看狮虎的人络绎不绝）。,他的工作为人民公园带来了声誉也带来了经济效益（看狮虎的人不断）。
传宗接,繁衍后,临到娶仙草时，已经顾不了那麽多，只考虑能传宗接代就行了。,临到娶仙草时，已经顾不了那麽多，只考虑能繁衍后代就行了。
不期而,偶,这不期而遇非但没有安慰李主任，反使他伤感加倍。,这偶遇非但没有安慰李主任，反使他伤感加倍。
闷葫芦,难得张口的人,顾先生平时是不说话的，是一个闷葫芦。,顾先生平时是不说话的，是一个难得张口的人。
头露面,现,这时候，从三官庙的院墙里突然传出了欢呼声：“起事的人出头露面了！”,这时候，从三官庙的院墙里突然传出了欢呼声：“起事的人出现了！”
哑然失,不由地,弟弟哑然失笑，摇摇头走开了，只听见他说∶“拿你这种人没办法！”,弟弟不由地笑起来，摇摇头走开了，只听见他说∶“拿你这种人没办法！”
板有眼,条理,他调皮地说着，然后又用手拍着俺的腚垂子，摹仿着俺爹的声嗓，有板有眼地唱起来，“日落西山天黄昏，虎奔深山乌奔林。,他调皮地说着，然后又用手拍着俺的腚垂子，摹仿着俺爹的声嗓，有条理地唱起来，“太阳落山天黄昏，虎奔深山乌奔林。
日,太阳,他调皮地说着，然后又用手拍着俺的腚垂子，摹仿着俺爹的声嗓，有板有眼地唱起来，“日落西山天黄昏，虎奔深山乌奔林。,他调皮地说着，然后又用手拍着俺的腚垂子，摹仿着俺爹的声嗓，有条理地唱起来，“太阳落山天黄昏，虎奔深山乌奔林。
淡无奇,凡,也许人一生仅仅有那么一两个辉煌的瞬间——甚至一生都可能在平淡无奇中度过……,也许人一生仅仅有那么一两个辉煌的瞬间——甚至一生都可能在平凡中度过……
钟,面产生感,我不相信一见钟情，但是就某种程度上看，感情良不只是“培养”即成的吧？,我不相信一见面产生感情，但是就某种程度上看，感情良不只是“培养”即成的吧？
此一举,余,他有教书或作事的本领，而且相当的真诚，又没有什么不良的嗜好，在他想，顾虑生计简直是多此一举。,他有教书或作事的本领，而且相当的真诚，又没有什么不良的嗜好，在他想，顾虑生计简直是多余。
气吞声,耐,十三点左右，形成了这一天当中的一个热的高潮，白花花的阳光照到雪白的花包上，泛着刺目的白光，砂石路面上，泛起金灿灿的黄光；空气中充满了汗臭味、尿臊味和令人恶心的柴油味；骡马耷拉着脑袋，人垂着头，忍气吞声地受着“秋老虎”的折磨。,十三点左右，形成了这一天当中的一个热的高潮，白花花的阳光照到雪白的花包上，泛着刺目的白光，砂石路面上，泛起金灿灿的黄光；空气中充满了汗臭味、尿臊味和令人恶心的柴油味；骡马耷拉着脑袋，人垂着头，勉强忍耐地受着“秋老虎”的折磨。
至,地位很,在观念上，这里服从把个体休闲权利看得至高无上的欧洲人生哲学。,在观念上，这里服从把个体休闲权利看得地位很高的欧洲人生哲学。
天,时间,一顿饭没什么，两顿饭没什么，这样天长日久，这样搜刮老人，你们要搜刮到哪一天?,一顿饭没什么，两顿饭没什么，这样时间长久，这样搜刮老人，你们要搜刮到哪一天?
歹,坏,丫环就是丫环，叫她“自由”也没用，天生来的不知好歹。,丫环就是丫环，叫她“自由”也没用，天生来的不知好坏。
明媚,美好,一听到“大明湖”这三个字，便联想到春光明媚和湖光山色等等，而心中浮现出一幅美景来。,一听到“大明湖”这三个字，便联想到春光美好和湖山映衬的景色等等，而心中浮现出一幅美景来。
独厚,生优越,两个月过去了，韩新月的形象日渐清晰地呈现在他面前，得天独厚的素质，自强不息的毅力，将会使这个姑娘前途无量，这几乎是可以肯定的了，作为她的班主任，他感到激动与欣慰。,两个月过去了，韩新月的形象日渐清晰地呈现在他面前，天生优越的素质，自强的毅力，将会使这个姑娘前途无量，这几乎是可以肯定的了，作为她的班主任，他感到激动与欣慰。
风吹草,举,一有风吹草动，我们麻利儿缩回传统的老壳子里。,一有举动，我们麻利儿缩回传统的老壳子里。
有,财,第一次订婚的周家很有钱，后来看中苏鸿业的女儿，也是有钱有势的人家。,第一次订婚的周家很有钱，后来看中苏鸿业的女儿，也是钱财势力并存的人家。
恻隐之,同情,她感谢老天爷动了恻隐之心，看见了她的不幸，给了她这样一个关照。,她感谢老天爷动了同情心，看见了她的不幸，给了她这样一个关照。
以为常,惯,他们并不劝阻她，接着吃喝了，看来习以为常了。,他们并不劝阻她，接着吃喝了，看来习惯了。
默,一句,固然他有时也可以“默不作声”，有时也可以老实答道，“不能奉告”或“不便奉告”；但是这么办得发言人的身份高或问题的性质特别严重才成，不然便不免得罪人。,固然他有时也可以“一句不说”，有时也可以老实答道，“不能奉告”或“不便奉告”；但是这么办得发言人的身份高或问题的性质特别严重才成，不然便不免得罪人
作声,说,固然他有时也可以“默不作声”，有时也可以老实答道，“不能奉告”或“不便奉告”；但是这么办得发言人的身份高或问题的性质特别严重才成，不然便不免得罪人。,固然他有时也可以“一句不说”，有时也可以老实答道，“不能奉告”或“不便奉告”；但是这么办得发言人的身份高或问题的性质特别严重才成，不然便不免得罪人
神,思,［沈树江一个人在屋子里走来走去，仿佛心神不定的样子。,［沈树江一个人在屋子里走来走去，仿佛心思不安的样子。
定,安,［沈树江一个人在屋子里走来走去，仿佛心神不定的样子。,［沈树江一个人在屋子里走来走去，仿佛心思不安的样子。
勇往,一,同时，他也想到，有知识的人，象他自己，反倒前怕狼后怕虎的不敢勇往直前；知识好象是情感的障碍。,同时，他也想到，有知识的人，象他自己，反倒前怕狼后怕虎的不敢一直前进；知识好象是情感的障碍。
搅蛮,闹纠,她娘不识字，话虽然多，一多半是胡搅蛮缠；吴香香上过三年私塾，话能往理上说，不但能往理上说，偶尔还能抓住事情的骨节，正是因为这样，更能挑出人的毛病。,她娘不识字，话虽然多，一多半是胡闹纠缠；吴香香上过三年私塾，话能往理上说，不但能往理上说，偶尔还能抓住事情的骨节，正是因为这样，更能挑出人的毛病。
不可遏,到极点,不错，我一听见你跟别人乱闹恋爱，我当时自然怒不可遏。,不错，我一听见你跟别人乱闹恋爱，我当时自然愤怒到极点。
一,短,一时三刻，他就被赶上了山，不得不象众人一样握起了老镢把，满头臭汗为自己的生计而拚命！,短时间内，他就被赶上了山，不得不象众人一样握起了老镢把，满头臭汗为自己的生计而拚命！
三刻,间内,一时三刻，他就被赶上了山，不得不象众人一样握起了老镢把，满头臭汗为自己的生计而拚命！,短时间内，他就被赶上了山，不得不象众人一样握起了老镢把，满头臭汗为自己的生计而拚命！
千,无边,电视是电来时我们唯一最直接对外面大千世界的接触，但是我仍不很爱看它。,电视是电来时我们唯一最直接对外面广大无边世界的接触，但是我仍不很爱看它。
招摇撞,诈,但凡他写了什么报道，不管是表彰性的还是批评性的，皆会立即有人上书报社，控告说严重失实，且又有人以他的名义给一些单位和人去警告信，这些单位和人收信又呈转于白石寨县委和州城报社，便证明他以记者的身份在下招摇撞骗，胡作非为。,但凡他写了什么报道，不管是表彰性的还是批评性的，皆会立即有人上书报社，控告说严重失实，且又有人以他的名义给一些单位和人去警告信，这些单位和人收信又呈转于白石寨县委和州城报社，便证明他以记者的身份在下诈骗，不据事实干坏事。
与世隔,断,吓了一跳，韩山河是坚决的革命者，他与世隔绝了三年，不知外面发生了什,吓了一跳，韩山河是坚决的革命者，他断绝来往了三年，不知外面发生了什
久,分,久别重逢的喜悦烟消云散，大家都显得意兴阑珊。,分别多年再见的喜悦消失，大家都显得意兴阑珊。
重逢,多年再见,久别重逢的喜悦烟消云散，大家都显得意兴阑珊。,分别多年再见的喜悦消失，大家都显得意兴阑珊。
云散,失,久别重逢的喜悦烟消云散，大家都显得意兴阑珊。,分别多年再见的喜悦消失，大家都显得意兴阑珊。
生,多人,当然，对面那座大教堂的石阶上，偶而有些衣著整齐的幸福家庭，正望了弥撒走出来━━就在这样一个看似失落园的大图画里，那一辆辆叫做“青鸟”的公车，慢慢的驶过，而幸福，总是在开著，在流过去，广场上的芸芸众生，包括我，是上不了这街车。,当然，对面那座大教堂的石阶上，偶而有些衣著整齐的幸福家庭，正望了弥撒走出来━━就在这样一个看似失落园的大图画里，那一辆辆叫做“青鸟”的公车，慢慢的驶过，而幸福，总是在开著，在流过去，广场上的众多人，包括我，是上不了这街车。
作,以为,所以连副听到这个话时，就骂着勤务兵说：“一个人愚蠢一点时还不讨厌，愚蠢人自作聪明，就该死了。”,所以连副听到这个话时，就骂着勤务兵说：“一个人愚蠢一点时还不讨厌，愚蠢人自以为聪明，就该死了。”
逢场作,不认识地做,“都是逢场作戏，都是完事就走，没在一起，睡过一夜。”,“都是不认识地做戏，都是完事就走，没在一起，睡过一夜。
衫褴褛,服破烂,巡回法庭的马车被溃兵抢了，三个人背着枪，衣衫褴褛，神情也跟灾民差不多。,巡回法庭的马车被溃兵抢了，三个人背着枪，衣服破烂，神情也跟灾民差不多。
水推舟,势办事,茅盾也顺水推舟，用英语回答：“是，是我亲爱的夫人。”,茅盾也顺势办事，用英语回答：“是，是我亲爱的夫人。”
迹斑斑,渍,他把血迹斑斑的脸探出窗户，往下看那被千万只学生脚踩得白白净净的地。,他把有血渍的脸探出窗户，往下看那被千万只学生脚踩得白白净净的地。
半,不完全,我点着头，但我对于韦达的能力半信半疑。,我点着头，但我对于韦达的能力不完全信任。
半疑,任,我点着头，但我对于韦达的能力半信半疑。,我点着头，但我对于韦达的能力不完全信任。
无,每一,无时无刻，她不在精心编织着自己的春梦。,每一时刻，她不在精心编织着自己的春梦。
以,放着,“南边去防口实”，咳眉，这回再要“以不了了之”，我真该投身西湖做死鬼去了，我本想在南行前写完这本日记的，但看情形怕不易了，眉，这本子里不少我的呕心血的话，你要是随便翻过的话，我的心血就白呕了！,“南边去防口实”，咳眉，这回再要“放着不管”，我真该投身西湖做死鬼去了，我本想在南行前写完这本日记的，但看情形怕不易了，眉，这本子里不少我的呕心血的话，你要是随便翻过的话，我的心血就白呕了！
了了之,管,“南边去防口实”，咳眉，这回再要“以不了了之”，我真该投身西湖做死鬼去了，我本想在南行前写完这本日记的，但看情形怕不易了，眉，这本子里不少我的呕心血的话，你要是随便翻过的话，我的心血就白呕了！,“南边去防口实”，咳眉，这回再要“放着不管”，我真该投身西湖做死鬼去了，我本想在南行前写完这本日记的，但看情形怕不易了，眉，这本子里不少我的呕心血的话，你要是随便翻过的话，我的心血就白呕了！
来面目,模样,她把目光投向那汪水，癞蛤蟆又恢复了本来面目，用邪恶的眼睛逼视着她。,她把目光投向那汪水，癞蛤蟆又恢复了原本模样，用邪恶的眼睛逼视着她。
风平浪,寂,他忽忽悠悠地听着那夜的风天昏地暗刮了一宿，天亮时风平浪静，夫人告诉他：“夜里你唧哩咕噜梦话就没停。”,他忽忽悠悠地听着那夜的风昏暗无光刮了一宿，天亮时寂静，夫人告诉他：“夜里你唧哩咕噜梦话就没停。”
一,初次,婉小姐和朱克成小姐一见如故，知道她家没有女仆及婢女，克成除作饭外，还要为行健、竞新洗衣、缝衣。,婉小姐和朱克成小姐初次见面很投缘，知道她家没有女仆及婢女，克成除作饭外，还要为行健、竞新洗衣、缝衣。
如故,面很投缘,婉小姐和朱克成小姐一见如故，知道她家没有女仆及婢女，克成除作饭外，还要为行健、竞新洗衣、缝衣。,婉小姐和朱克成小姐初次见面很投缘，知道她家没有女仆及婢女，克成除作饭外，还要为行健、竞新洗衣、缝衣。
任,无,一天到晚他任劳任怨的去干，可是干着干着，他便想起那回事。,一天到晚他无劳怨的去干，可是干着干着，他便想起那回事。
拐,绕,大人没有工夫，放牛的孩子们会拐弯抹角的钉梢。,大人没有工夫，放牛的孩子们会绕弯的钉梢。
所事事,关,这节奏无声，均衡，无所事事却又干系重大，足以要人的命。,这节奏无声，均衡，无关却又干系重大，足以要人的命。
