idiom,explanation,original_sentence,original_paraphrase
移势易,代变化,尽管时移势易，但今时今日仍有不少鸟迷对类胡萝卜素浓缩抱著抗拒态度。,尽管时代变化，但今时今日仍有不少鸟迷对类胡萝卜素浓缩抱著抗拒态度。
傻里傻气自寻开心,有点愚蠢乐观,在医生断言那老人真的死了以后，监狱长说道，他是一个性情温和，安份守己，傻里傻气自寻开心的犯人，简直用不着看守他。,在医生断言那老人真的死了以后，监狱长说道，他是一个性情温和，老实，有点愚蠢乐观的犯人，简直用不着看守他。
为表里,依存的,有组织的暴力与非法控制之间互为表里关系。,有组织的暴力与非法控制之间相互依存的关系。
假,装出一付,但是，似乎他是故意这样做，以便证明他在其报告第86至108段内对儿童权利表示的假慈悲是对的，在这方面容后详评。,但是，似乎他是故意这样做，以便证明他在其报告第86至108段内对儿童权利表示的装出一付慈爱怜悯的样子是对的，在这方面容后详评。
悲,爱怜悯的样子,但是，似乎他是故意这样做，以便证明他在其报告第86至108段内对儿童权利表示的假慈悲是对的，在这方面容后详评。,但是，似乎他是故意这样做，以便证明他在其报告第86至108段内对儿童权利表示的装出一付慈爱怜悯的样子是对的，在这方面容后详评。
不知天高地厚,骄狂,普京认为他已经自大得不知天高地厚，他就等着萨科维利跨出太过分的那一步然后以雷霆万钧之势狠命敲打他和他那可怜的国家。,普京认为他已经自大得骄狂，他就等着萨科维利跨出太过分的那一步然后以威力极大之势狠命敲打他和他那可怜的国家。
釜,得到彻,这些“影子库存”的释放或许会在经济复苏加速之前釜底抽薪。,这些“影子库存”的释放或许会在经济复苏加速之前得到彻底解决。
抽薪,解决,这些“影子库存”的释放或许会在经济复苏加速之前釜底抽薪。,这些“影子库存”的释放或许会在经济复苏加速之前得到彻底解决。
制作一标语写道,口号是：,官方制作一标语写道，“凡不遵守家庭计划政策者，必造成家破人亡。”,官方口号是：凡不遵守家庭计划政策者，谁的家庭就会被摧毁，他的家庭就会死亡。
必造成,谁的,官方制作一标语写道，“凡不遵守家庭计划政策者，必造成家破人亡。”,官方口号是：凡不遵守家庭计划政策者，谁的家庭就会被摧毁，他的家庭就会死亡。
破人,庭就会被摧毁，他的家庭就会死,官方制作一标语写道，“凡不遵守家庭计划政策者，必造成家破人亡。”,官方口号是：凡不遵守家庭计划政策者，谁的家庭就会被摧毁，他的家庭就会死亡。
艳夺目,明美丽,上海就像一轮红日，光芒四射，鲜艳夺目。,上海就像一轮红日，光芒四射，鲜明美丽。
心不良,险恶,我三次与本应是好友的割席断交就为了察觉他们存心不良。,我三次与本应是好友的割席断交就为了察觉他们心存险恶。
病,样不幸遭遇的人互,即使把硬币投入他的存钱罐，硬币仍然会掉入她的存钱罐。你可否有这种同病相怜的经历？,即使把硬币投入他的存钱罐，硬币仍然会掉入她的存钱罐。你可否有这种有同样不幸遭遇的人互相同情的经历。
怜,同情,即使把硬币投入他的存钱罐，硬币仍然会掉入她的存钱罐。你可否有这种同病相怜的经历？,即使把硬币投入他的存钱罐，硬币仍然会掉入她的存钱罐。你可否有这种有同样不幸遭遇的人互相同情的经历。
碌碌无,没有作,碌碌无为是庸人所为，奋发图强是智者之举。,没有作为是庸人所为，努力奋斗是智者之举。
发图强,斗,碌碌无为是庸人所为，奋发图强是智者之举。,没有作为是庸人所为，努力奋斗是智者之举。
山盟,言,这情况也使我长时期牢守禁城，一直到他又一次向我进攻：好姑娘，只求你对我略加怜悯，千万别不相信我的海誓山盟，那些话还从不曾出我口中，因为我多次拒绝了爱情的筵席，但我还从没亲过人，除了你。,这情况也使我长时期牢守禁城，一直到他又一次向我进攻：好姑娘，只求你对我略加怜悯，千万别不相信我立下的誓言，那些话还从不曾出我口中，因为我多次拒绝了爱情的筵席，但我还从没亲过人，除了你。
扰,找麻烦,有时候，汤普森说，医生觉得某个患者主动减肥的热情不高，他们也就不庸人自扰了,有时候，汤普森说，医生觉得某个患者主动减肥的热情不高，他们也就不自找麻烦了
借鉴,参考,实事求是地评价小说在叙事操作方面的成败得失，能够给历史演义类小说在叙事方面提供借鉴。,客观地评价小说在叙事操作方面的有利的地方和不利的地方，能够给历史演义类小说在叙事方面提供参考。
大,侥幸在灾,迄今已有一名矿工死于该病，并有另外两名患病，但大难不死，能够协助调查。,迄今已有一名矿工死于该病，并有另外两名患病，但侥幸在灾难中生存下来，能够协助调查。
不死,中生存下来,迄今已有一名矿工死于该病，并有另外两名患病，但大难不死，能够协助调查。,迄今已有一名矿工死于该病，并有另外两名患病，但侥幸在灾难中生存下来，能够协助调查。
你怎么能文过饰非呢,"而不是掩盖它们。""","""有错误就该承认并改正，你怎么能文过饰非呢?","你应该承认并改正你的错误，而不是掩盖它们。"""
别具匠,精,我们也会在周末的时候推出别具匠心的巧克力自助，专注于为客人呈现精美绝伦的巧克力。,我们也会在周末的时候推出精心制作的巧克力自助，专注于为客人呈现完美的巧克力。
精,完,我们也会在周末的时候推出别具匠心的巧克力自助，专注于为客人呈现精美绝伦的巧克力。,我们也会在周末的时候推出精心制作的巧克力自助，专注于为客人呈现完美的巧克力。
休,停说话,就像聪明的富兰克林所言：“假如你喜欢喋喋不休，争强好胜，那么你也许偶尔会赢。,就像聪明的富兰克林所言：“假如你喜欢不停说话，逞强，那么你也许偶尔会赢。
争,逞,就像聪明的富兰克林所言：“假如你喜欢喋喋不休，争强好胜，那么你也许偶尔会赢。,就像聪明的富兰克林所言：“假如你喜欢不停说话，逞强，那么你也许偶尔会赢。
铿锵,响亮,我们听到了铿锵有力和充满希望的话。,我们听到了响亮有力和充满希望的言辞。
话,言辞,我们听到了铿锵有力和充满希望的话。,我们听到了响亮有力和充满希望的言辞。
单行,幸的事接连发生,我昨天真是祸不单行。老板把我炒鱿鱼，我太太又吵着要离婚。,我昨天真是不幸的事接连发生。老板把我炒鱿鱼，我太太又吵着要离婚。
入非非,脱离实际,她母亲的脸上有着一种想入非非的神情。,她母亲的脸上有着一种思想脱离实际的神情。
深,没有,不管是在夜深人静的顺境，还是在举步为艰的逆境，它常常被我想起。,不管是在深夜没有人的声响的顺境，还是在举步为艰的逆境，它常常被我想起。
静,的声响,不管是在夜深人静的顺境，还是在举步为艰的逆境，它常常被我想起。,不管是在深夜没有人的声响的顺境，还是在举步为艰的逆境，它常常被我想起。
一,初,强和力都对程程一见倾心，三人展开一段错综复杂的爱情故事。,强和力都对程程初见就很喜欢，三人展开一段繁杂的爱情故事。
倾心,就很喜欢,强和力都对程程一见倾心，三人展开一段错综复杂的爱情故事。,强和力都对程程初见就很喜欢，三人展开一段繁杂的爱情故事。
错综复,繁,强和力都对程程一见倾心，三人展开一段错综复杂的爱情故事。,强和力都对程程初见就很喜欢，三人展开一段繁杂的爱情故事。
每,情,病情一年年每况愈下，直到最后心脏病不可避免地发作。,病情一年年情况越来越坏，直到最后心脏病不可避免地发作。
愈下,越来越坏,病情一年年每况愈下，直到最后心脏病不可避免地发作。,病情一年年情况越来越坏，直到最后心脏病不可避免地发作。
发将,开始。它,我们看到的是一个无所不在的盒子，搜索业务一触即发，将取代操作系统，这就是我们对未来的看法。,我们看到一个到处都有的盒子。搜索立即开始。它取代了操作系统。这是我们对未来的展望。
看法,展望,我们看到的是一个无所不在的盒子，搜索业务一触即发，将取代操作系统，这就是我们对未来的看法。,我们看到一个到处都有的盒子。搜索立即开始。它取代了操作系统。这是我们对未来的展望。
开心,快乐,他们不开心，失去了社交能力，而且长期的孤独和诸如心脏病这样的严重疾病是息息相关的。,他们不快乐，无法与人交往，长期孤独与心脏病等严重疾病之间存在着联系。
能力,往,他们不开心，失去了社交能力，而且长期的孤独和诸如心脏病这样的严重疾病是息息相关的。,他们不快乐，无法与人交往，长期孤独与心脏病等严重疾病之间存在着联系。
和诸如,与,他们不开心，失去了社交能力，而且长期的孤独和诸如心脏病这样的严重疾病是息息相关的。,他们不快乐，无法与人交往，长期孤独与心脏病等严重疾病之间存在着联系。
这样的,等,他们不开心，失去了社交能力，而且长期的孤独和诸如心脏病这样的严重疾病是息息相关的。,他们不快乐，无法与人交往，长期孤独与心脏病等严重疾病之间存在着联系。
是息息相关的,之间存在着联系,他们不开心，失去了社交能力，而且长期的孤独和诸如心脏病这样的严重疾病是息息相关的。,他们不快乐，无法与人交往，长期孤独与心脏病等严重疾病之间存在着联系。
一无所,什么都没,它让我们了解自己的贫乏，一无所有、一无所能，里面毫无良善可言。,它让我们了解自己的贫乏，什么都没有、没有能力，里面毫无良善可言。
一无所,没有,它让我们了解自己的贫乏，一无所有、一无所能，里面毫无良善可言。,它让我们了解自己的贫乏，什么都没有、没有能力，里面毫无良善可言。
乐于,喜欢帮,我在平时就要求自己乐于助人，不卑不亢，爱憎分明。,我在平时就要求自己喜欢帮助别人，态度得体，分寸恰当，喜欢憎恶分明。
爱,分寸恰当，喜欢,我在平时就要求自己乐于助人，不卑不亢，爱憎分明。,我在平时就要求自己喜欢帮助别人，态度得体，分寸恰当，喜欢憎恶分明。
所错,道怎么办才好,我失望地拼力回到自己的戏路上来，可是我的心砰然大跳，我绝望得不知所错。,我失望地拼力回到自己的戏路上来，可是我的心砰然大跳，我绝望得不知道怎么办才好。
乱,经惊慌,他讪讪地住了嘴，但方寸已乱，因为自己笨嘴拙舌很感到难为情。,他讪讪地住了嘴，但已经惊慌，因为自己愚蠢很感到难为情。
屡,多,确定最不发达国家类别和屡次三番地允许最不发达国家标准演变的理由是，应根据这些国家的严重结构障碍向它们提供特别的国际支助措施。,确定最不发达国家类别和多次地允许最不发达国家标准演变的理由是，应根据这些国家的严重结构障碍向它们提供特别的国际支助措施。
真,的确,这真是一个颠扑不破的实例。,这的确是无可辩驳的证据。
一个颠扑不破,无可辩驳,这真是一个颠扑不破的实例。,这的确是无可辩驳的证据。
实例,证据,这真是一个颠扑不破的实例。,这的确是无可辩驳的证据。
宜迟,要拖延,因此，处在酒店住宿业食物链顶端的人们是时候要出手了，而且事不宜迟。,因此，处在酒店住宿业食物链顶端的人们是时候要出手了，而且不要拖延。
走,鸟奔跑的野,以「猫物语动物学公园」为家的这些大猫和其他飞禽走兽准备好要大快朵颐了。,以「猫物语动物学公园」为家的这些大猫和其他飞翔的禽鸟奔跑的野兽准备好要大快朵颐了。
神州大,辽阔的土,名仕国际棋牌携好礼空降神州大地，棋牌好手不再怕无用武之地。,名仕国际棋牌携好礼空降辽阔的土地，国际象棋运动员不再害怕没有用了。
牌好手,运动员,名仕国际棋牌携好礼空降神州大地，棋牌好手不再怕无用武之地。,名仕国际棋牌携好礼空降辽阔的土地，国际象棋运动员不再害怕没有用了。
无,没有,名仕国际棋牌携好礼空降神州大地，棋牌好手不再怕无用武之地。,名仕国际棋牌携好礼空降辽阔的土地，国际象棋运动员不再害怕没有用了。
武之地,了,名仕国际棋牌携好礼空降神州大地，棋牌好手不再怕无用武之地。,名仕国际棋牌携好礼空降辽阔的土地，国际象棋运动员不再害怕没有用了。
眼烟云,去,人类历史中的一切终将成为过眼烟云，惟一文化不朽。,人类历史中的一切终将成为过去，惟一文化不朽。
同时,此外,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
如果某,一个,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
司,级,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
也,这一事实并,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
得,能,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
其罪,他或她的刑事,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
是,如果法院确定司法需要，,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
根据法律从,考虑减,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
发落,处罚,同时，如果某人根据政府或者上司的命令行事，也不得免除其罪责，但是可以根据法律从轻发落。,此外，一个人根据政府或上级的命令行事这一事实并不能免除他或她的刑事责任，但如果法院确定司法需要，可以考虑减轻处罚。
招摇撞,欺,这个故事是说：有些人凭借别人的权势到处招摇撞骗，欺压弱小。,这个故事是说：有些人凭借别人的权势到处欺骗，欺压弱小。
凡,人,超凡的思想是不会与凡夫俗子共存的。,超人的意识形态不会和每个人共存。
思想是,意识形态,超凡的思想是不会与凡夫俗子共存的。,超人的意识形态不会和每个人共存。
与凡夫俗子,和每个人,超凡的思想是不会与凡夫俗子共存的。,超人的意识形态不会和每个人共存。
入膏肓,情特别严重，无法医治,如果思念是一种病，那么我早已病入膏肓。,如果思念是一种病，那么我早已病情特别严重，无法医治。
欺,骗别,但不要自欺欺人的以为仅凭期末考试就可以解决问题。,但不要欺骗自己也欺骗别人的以为仅凭期末考试就可以解决问题。
到,他，使他快疯,奥勃良快把他折磨到了神经错乱的地步。,奥勃琳折磨他，使他快疯了。
就,他们,“就好像只有那些巨星才是这支球队中有血有肉的人。”一位一线球员对此现象愤愤不平。,“他们好像是俱乐部里唯一的有活力的人，”一名一线队队员对此怨愤地说。
只,是俱乐部里唯一的,“就好像只有那些巨星才是这支球队中有血有肉的人。”一位一线球员对此现象愤愤不平。,“他们好像是俱乐部里唯一的有活力的人，”一名一线队队员对此怨愤地说。
那些巨星才是这支球队中有血有肉,活力,“就好像只有那些巨星才是这支球队中有血有肉的人。”一位一线球员对此现象愤愤不平。,“他们好像是俱乐部里唯一的有活力的人，”一名一线队队员对此怨愤地说。
位,名,“就好像只有那些巨星才是这支球队中有血有肉的人。”一位一线球员对此现象愤愤不平。,“他们好像是俱乐部里唯一的有活力的人，”一名一线队队员对此怨愤地说。
球,队队,“就好像只有那些巨星才是这支球队中有血有肉的人。”一位一线球员对此现象愤愤不平。,“他们好像是俱乐部里唯一的有活力的人，”一名一线队队员对此怨愤地说。
现象,怨,“就好像只有那些巨星才是这支球队中有血有肉的人。”一位一线球员对此现象愤愤不平。,“他们好像是俱乐部里唯一的有活力的人，”一名一线队队员对此怨愤地说。
愤不平,地说,“就好像只有那些巨星才是这支球队中有血有肉的人。”一位一线球员对此现象愤愤不平。,“他们好像是俱乐部里唯一的有活力的人，”一名一线队队员对此怨愤地说。
乎意料,预想猜测,可能出乎意料的倒是越南、巴拿马，乌克兰的潜在风险。,可能超出预想猜测的倒是越南、巴拿马，乌克兰的潜在风险。
无拘无,不受任何约,布瑞德纽伯格真的很喜欢从事自由业的无拘无束，但他却也很怀念在办公室和其他人共事的社交互动。,布瑞德纽伯格真的很喜欢从事自由业的不受任何约束，但他却也很怀念在办公室和其他人共事的社交互动。
忘,不感,法国也许并不是对全世界都忘恩负义的，她待她自己的子女不好，但她对客人却永远是欢迎的。,法国也许并不是对全世界都不感恩的，她待她自己的子女不好，但她对客人却永远是欢迎的。
装模,故意做,也许大黄蜂飞行装模作样的方式或者它们独特的“嗡嗡”声是帮助潜在捕食者避免讨厌的刺的更为重要的暗示。”他说。,也许大黄蜂飞行故意做作的方式或者它们独特的“嗡嗡”声是帮助潜在捕食者避免讨厌的刺的更为重要的暗示。”他说。
稳步,顺利,以“公众服务”为幌子，《纽约时报》继续稳步前进，朝着临时的有利可图的生活方式错误进发。,以“公众服务”为幌子，《纽约时报》继续顺利前进，朝着临时的有利的生活方式错误进发。
浮,充满,布达拉宫宫顶是一个金碧辉煌的艺术世界，浮光跃金，辉煌夺目。,布达拉宫宫顶是一个华丽的艺术世界，充满光彩，辉煌夺目。
跃金,彩,布达拉宫宫顶是一个金碧辉煌的艺术世界，浮光跃金，辉煌夺目。,布达拉宫宫顶是一个华丽的艺术世界，充满光彩，辉煌夺目。
现任,目前,现任的公司领导一致决定，努力工作，发愤图强，要让公司东山再起，再创佳绩。,目前的公司领导一致决定努力工作，谋求强盛，要让公司重启，再次创造良好的业绩。
发愤图,谋求,现任的公司领导一致决定，努力工作，发愤图强，要让公司东山再起，再创佳绩。,目前的公司领导一致决定努力工作，谋求强盛，要让公司重启，再次创造良好的业绩。
佳,造良好的业,现任的公司领导一致决定，努力工作，发愤图强，要让公司东山再起，再创佳绩。,目前的公司领导一致决定努力工作，谋求强盛，要让公司重启，再次创造良好的业绩。
群,很热,联欢会上，大家群情鼎沸、兴奋欢快。,联欢会上，大家很热情、兴奋欢快。
刨根,追,于是接下来的安排就容易了，因为我不必为刨根究底和东猜西想而烦恼。,于是接下来的安排就容易了，因为我不必为追究清楚和东猜西想而烦恼。
底,清楚,于是接下来的安排就容易了，因为我不必为刨根究底和东猜西想而烦恼。,于是接下来的安排就容易了，因为我不必为追究清楚和东猜西想而烦恼。
意,诚恳,伯纳德把信拿给爱德华看，而爱德华竟没有看出信中流露的真情实意是嫉妒和痛苦。,伯纳德把信拿给爱德华看，而爱德华竟没有看出信中流露的情意真实诚恳是嫉妒和痛苦。
奔走,互,他听到他们呼唤着自己的名字，在田野奔走相告航船到达的消息。,他听到他们呼唤着自己的名字，在田野互相转告航船到达的消息。
如痴如,疯,你只要为邪教如痴如狂，那自己是谁就不那么重要了。,你只要为邪教疯狂，那自己是谁就不那么重要了。
念之差,个想法,曾荫权周四斥责说，歹徒以一念之差，摧毁了八条宝贵生命、粉碎了多个美满幸福的家庭。,曾荫权周四斥责说，歹徒以一个想法，摧毁了八条宝贵生命、粉碎了多个美满幸福的家庭。
全责备,完美,我这么求全责备，完全是暗藏嫉妒之心。,我这么苛责别人，要求完美，完全是暗藏嫉妒之心。
可儿戏,应视为小事,这可是他的终身大事，不可儿戏。,这是他一生中的大事，不应视为小事。
搅蛮,乱纠,缔约方进一步提到，提交人在其众多国内诉讼案中也有类似胡搅蛮缠的倾向。,缔约方进一步提到，提交人在其众多国内诉讼案中也有类似胡乱纠缠的倾向。
文,点钱都没有,执达主任办事处会依法尽力协助申请人；可是，申请人须知道，在某些情况下，如被告不名一文或不知所踪时，判决是无法执行的。,执达主任办事处会依法尽力协助申请人；可是，申请人须知道，在某些情况下，如被告一点钱都没有或不知所踪时，判决是无法执行的。
新孟邦党不,缔约国会议未,即使新孟邦党不能赢得这场战争，但是孟邦人民将会前仆后继。,即使缔约国会议未能赢得这场冲突，孟邦人民也将再次崛起。
战争,冲突,即使新孟邦党不能赢得这场战争，但是孟邦人民将会前仆后继。,即使缔约国会议未能赢得这场冲突，孟邦人民也将再次崛起。
会前仆后继,再次崛起,即使新孟邦党不能赢得这场战争，但是孟邦人民将会前仆后继。,即使缔约国会议未能赢得这场冲突，孟邦人民也将再次崛起。
前想后,考,退朝后，他思前想后地在自家的后花园里踱来踱去，突然看到一只蝉，立刻有了主意。,退朝后，他反复思考地在自家的后花园里踱来踱去，突然看到一只蝉，立刻有了主意。
聊以,安慰,于是，他在这小房间里来回蹀躞了一二次，让老头儿吸几口板烟，在吞云吐雾中聊以自慰,于是，他在这小房间里来回蹀躞了一二次，让老头儿吸几口板烟，在吸烟中安慰自己。
慰,己。,于是，他在这小房间里来回蹀躞了一二次，让老头儿吸几口板烟，在吞云吐雾中聊以自慰,于是，他在这小房间里来回蹀躞了一二次，让老头儿吸几口板烟，在吸烟中安慰自己。
灰意懒,失望,对于名声他早就心灰意懒了。,对于名声他早就灰心失望了。
百废待,事情等着,独立时，阿尔及利亚面临着种种挑战：难民需要重返家园，民族解放战争中的死难者家属需要给予社会和精神方面的照料，国家百废待兴，还要建立机构等。,独立时，阿尔及利亚面临着种种挑战：难民需要重返家园，民族解放战争中的死难者家属需要给予社会和精神方面的照料，国家事情等着兴办，还要建立机构等。
非常,是,贪赃枉法的官员非常可恨，是每个人都知道的。,收受贿赂和歪曲公正的官员是可恨的，这是每个人都知道的。
忧虑,烦恼,人们个个都满面春风，忘却了一切的忧虑、争斗、痛苦和烦恼。,所有人都在微笑，忘记所有的烦恼、争吵、痛苦和烦恼。
斗,吵,人们个个都满面春风，忘却了一切的忧虑、争斗、痛苦和烦恼。,所有人都在微笑，忘记所有的烦恼、争吵、痛苦和烦恼。
可以惟妙惟肖,能很好,我可以惟妙惟肖地学他的样子。,我能很好地模仿他。
学,模仿,我可以惟妙惟肖地学他的样子。,我能很好地模仿他。
劝,忠,祖母的劝告永远言之有理。,祖母的忠告总是有道理的。
头换,变,接着，下雪了，我们又一次惊诧于它是如何将我们平常熟知的事物改头换面。,接着，下雪了，我们又一次惊诧于它是如何将我们平常熟知的事物改变面貌。
入,门,每天，由于在入口处排队，世博展馆的工作人员得花上九牛二虎之力才能进入自己的展馆。,由于在门口排队，展馆工作人员每天都很难进入展馆。
得花上九牛二虎之力才能,每天都很难,每天，由于在入口处排队，世博展馆的工作人员得花上九牛二虎之力才能进入自己的展馆。,由于在门口排队，展馆工作人员每天都很难进入展馆。
在,对,我们在中东或达佛、刚果、科索沃或海地重建和平的承诺，并不是由我们的豪言壮语来衡量，而是由我们的钱包来衡量的。,我们对中东、达尔富尔、刚果、科索沃或海地实现和平的承诺不是以我们的话来衡量的，而是以我们的钱包来衡量的。
或,、,我们在中东或达佛、刚果、科索沃或海地重建和平的承诺，并不是由我们的豪言壮语来衡量，而是由我们的钱包来衡量的。,我们对中东、达尔富尔、刚果、科索沃或海地实现和平的承诺不是以我们的话来衡量的，而是以我们的钱包来衡量的。
佛,尔富尔,我们在中东或达佛、刚果、科索沃或海地重建和平的承诺，并不是由我们的豪言壮语来衡量，而是由我们的钱包来衡量的。,我们对中东、达尔富尔、刚果、科索沃或海地实现和平的承诺不是以我们的话来衡量的，而是以我们的钱包来衡量的。
重建,实现,我们在中东或达佛、刚果、科索沃或海地重建和平的承诺，并不是由我们的豪言壮语来衡量，而是由我们的钱包来衡量的。,我们对中东、达尔富尔、刚果、科索沃或海地实现和平的承诺不是以我们的话来衡量的，而是以我们的钱包来衡量的。
由,以,我们在中东或达佛、刚果、科索沃或海地重建和平的承诺，并不是由我们的豪言壮语来衡量，而是由我们的钱包来衡量的。,我们对中东、达尔富尔、刚果、科索沃或海地实现和平的承诺不是以我们的话来衡量的，而是以我们的钱包来衡量的。
由,以,我们在中东或达佛、刚果、科索沃或海地重建和平的承诺，并不是由我们的豪言壮语来衡量，而是由我们的钱包来衡量的。,我们对中东、达尔富尔、刚果、科索沃或海地实现和平的承诺不是以我们的话来衡量的，而是以我们的钱包来衡量的。
倾家荡,破,有些人为我们倾家荡产，却一无所得，也有些人只用一束鲜花就换得了我们。,有些人为我们破产，却毫无收获，也有些人只用一束鲜花就换得了我们。
一,毫,有些人为我们倾家荡产，却一无所得，也有些人只用一束鲜花就换得了我们。,有些人为我们破产，却毫无收获，也有些人只用一束鲜花就换得了我们。
所得,收获,有些人为我们倾家荡产，却一无所得，也有些人只用一束鲜花就换得了我们。,有些人为我们破产，却毫无收获，也有些人只用一束鲜花就换得了我们。
局促,举止拘束，心中,如果这种不满很强烈，就会导致他们变得羞涩或者很容易感到局促不安。,如果这种不满很强烈，就会导致他们变得羞涩或者很容易感到举止拘束，心中不安。
软,懦,联合国之所以零碎分散、软弱无力，是有其诸多原因的：从各会员国首都和派驻各机构的代表不给予支持和发出不同的讯息，到各种机构、授权任务和办事处大量增加，从而导致机构重叠，失去追求成果的重点，一些实体半死不活却又永不撤消，等等。,联合国之所以零碎分散、懦弱，是有其诸多原因的：从各会员国首都和派驻各机构的代表不给予支持和发出不同的讯息，到各种机构、授权任务和办事处大量增加，从而导致机构重叠，失去追求成果的重点，一些实体没有生机却又永不撤消，等等。
了在全国范围内,暴力,但是，甚至这个与世隔绝的绿洲也感受到了在全国范围内不断上升的暴力威胁。,但即使是这个孤立的绿洲也感受到暴力不断蔓延的威胁。
上升,蔓延,但是，甚至这个与世隔绝的绿洲也感受到了在全国范围内不断上升的暴力威胁。,但即使是这个孤立的绿洲也感受到暴力不断蔓延的威胁。
形成一片散沙,分裂,国家的情况也一样，如果人民和各个决策团体不同心同德，而是开始你怀疑我、我怀疑你，便会渐渐形成一片散沙。,国家的情况也一样，如果人民和各个决策团体不团结，而是开始你怀疑我、我怀疑你，便会渐渐分裂。
梨园弟,戏,咸丰净脚李文茂率梨园弟子起义反清亦赖武功基础。,咸丰净脚李文茂率戏子起义反清亦赖武功基础。
妁之言,人的介绍,在有些国家，缔结婚姻要靠媒妁之言。,在有些国家，缔结婚姻要靠媒人的介绍。
一官半,得,他向老板谄媚以求一官半职。,他向老板谄媚以求得职位。
无懈,没有,总而言之，习近平已经使自己几乎无懈可击-他罕见的政治技巧使他登堂入室，成为世俗社会之神。,总之，习近平已经使自己几乎没有可攻击的地方-他罕见的政治技巧使他成为了主席，成为世俗社会之神。
生永世,远,这真是神仙般的生活，但愿能永生永世地过下去。,这真是神仙般的生活，但愿能永远地过下去。
来说,过于客套,过份的客套对他们来说是一种无能的表现，过头的谦虚可能会被他们误认为你心怀鬼胎。,对他们过于客套是一种能力不足的表现，过头的谦虚可能会被他们误认为你有坏主意。
诡计,坏主意很,战争，刺杀还有难民都是计划的要点，都由那位诡计多端，狡猾透顶的精神操纵着，期待一切都能瓜熟蒂落。,战争，刺杀还有难民都是计划的要点，都由那位坏主意很多，狡猾透顶的精神操纵着，期待一切都能结束。
噎废食,小事出错索性不去干,听起来有理，其实是个因噎废食的逻辑。,听起来有理，其实是个因小事出错索性不去干的逻辑。
闭门羹或许,拒绝可能,学院的闭门羹或许是促使他自认是天才的原因。,学院的拒绝可能是促使他认为自己是天才的原因。
认,己,学院的闭门羹或许是促使他自认是天才的原因。,学院的拒绝可能是促使他认为自己是天才的原因。
这,以下,这是一个以讹传讹的说法：顶撞上司的管理者很难获得晋升。但事实常常与之相反。,以下是一个错误的说法：顶撞上司的管理们很难晋升，但事实往往正好相反。
者,们,这是一个以讹传讹的说法：顶撞上司的管理者很难获得晋升。但事实常常与之相反。,以下是一个错误的说法：顶撞上司的管理们很难晋升，但事实往往正好相反。
一生一世生生世世,直到永远,这时我会说，“我爱你”一生一世，生生世世。,这时我会说，“我爱你”直到永远。
将,她似乎很容易把,看来，将灾难置之脑后对她来说并不是件难事。,看来，她似乎很容易把灾难从她的脑海里忘掉。
置之,从她的,看来，将灾难置之脑后对她来说并不是件难事。,看来，她似乎很容易把灾难从她的脑海里忘掉。
后对她来说并不是件难事,海里忘掉,看来，将灾难置之脑后对她来说并不是件难事。,看来，她似乎很容易把灾难从她的脑海里忘掉。
足挂齿,值得一提,对于华盛顿的国防精英来说，中国技术落后的两栖平台不足挂齿。,对于华盛顿的国防精英来说，中国技术落后的两栖平台不值得一提。
盼,两边看,他过马路时，左顾右盼，害怕撞到过路的车子上。,他过马路时，向左右两边看，害怕撞到过路的车子上。
稳操,确保,要有效保护知识产权，公营与私营机构之间的策略性伙伴关系至为重要。业界与执法机构必须并肩作战，才能稳操胜券，痛击侵权、盗版之徒。,要有效保护知识产权，公营与私营机构之间的策略性伙伴关系至为重要。业界与执法机构必须并肩作战，才能确保胜利，痛击侵权、盗版之徒。
