src,dst
把金印作为敲门砖随手一敲，敲开的却是一个芳香浓郁的酒窖，所谓“魏晋风度”也就从这里飘散出来了。,把金印作为钥匙随手一敲，敲开的却是一个芳香浓郁的酒窖，所谓“魏晋风度”也就从这里飘散出来了。
古代一个皇帝说：“马上得天下，不能马上治之！”,古代一个皇帝说：“可以用武力夺取天下，却不能用来治理国家。”
上善说：“他专制，搞一言堂。”,上善说：“他专制，搞独裁。”
而且，大净中很可能潜伏着大垢，“含剧毒而无迹”；大垢中也可能隐藏着大净，“出淤泥而不染”。,而且，大净中很可能潜伏着大垢，“含剧毒而无迹”；大垢中也可能隐藏着大净，在秽浊的环境下保持自我。
"我们中国有一句古谚，说""百闻不如一见""，亦愿海外的朋友们，都来读一读这本中国回族女作家写的奇书！","我们中国有一句古谚，说""见一面比得上听一遍""，亦愿海外的朋友们，都来读一读这本中国回族女作家写的奇书！"
少安笑着说：“我也是事后诸葛亮！,少安笑着说：“我也是事后称可以预言的人！
房子盖好后，我希望母亲能改善饮食，让久违的肉类重新登上我家的饭桌，谁知母亲的节俭比盖房前有过之而无不及。,房子盖好后，我希望母亲能改善饮食，让久违的肉类重新登上我家的饭桌，谁知母亲的节俭比盖房前更好。
虽然这全是无秩序的不足为外人道的自己又卑劣又无聊的感想，只要是能写，又能卖，我仍然得靠这个东西救活我这一家三人的性命。,虽然这全是无秩序的不要把有关事情告诉别人的自己又卑劣又无聊的感想，只要是能写，又能卖，我仍然得靠这个东西救活我这一家三人的性命。
好像自从盘古开天地，这里就有一个侉奶奶。,好像自从新开始，这里就有一个侉奶奶。
你还说什么‘小不忍则乱大谋’，事到如今，还有什么大谋可言？,你还说什么‘为干大事而不计较小事’，事到如今，还有什么大谋可言？
“既然刘大人看得起我们，我们就恭敬不如从命吧！,“既然刘大人看得起我们，我们就遵从吧！
什么事情都不能照葫芦画瓢，明白了吗？”,什么事情都不能照着模仿，明白了吗？”
哪里能那么巧，一辈子正好就赶上这一锤子买卖。,哪里能那么巧，一辈子正好就赶上这说好买卖。
高音喇叭不休息，正在广播两报一刊元旦社论《世上无难事，只要肯登攀》。,高音喇叭不休息，正在广播两报一刊元旦社论《世间没有难事，只要肯登攀》。
她驴唇不对马嘴地回答：可怜大地鱼虾尽，惟有孤独刘将军！,她回答不对应问题地回答：可怜大地鱼虾尽，惟有孤独刘将军！
卫队既在场内和门外放枪，还觉杀的不痛快，更拦着路邀击；其泄忿之道，真是无所不用其极了！,卫队既在场内和门外放枪，还觉杀的不痛快，更拦着路邀击；其泄忿之道，真是未达目的了！
有两句古语说，“一年之计在于春，一日之计在于晨”，这大概是给农民说的。,有两句古语说，“春的时间宝贵，一日之计在于晨”，这大概是给农民说的。
或叔侄同窗，或兄弟数人，几年下来，倒显得老汪桃李满天下。,或叔侄同窗，或兄弟数人，几年下来，倒显得老汪学生多。
