idiom,explanation,original_sentence,original_paraphrase
所作所为,事情,众所周知，司马迁对历史情节的取舍大刀阔斧，但他对于小人的所作所为却常常工笔细描，以便让历史记住这些看起来最无关重要的部位。,大家都知道，司马迁对历史情节的取舍果断，但他对于小人的事情却常常工笔细描，以便让历史记住这些看起来最无关重要的部位。
独善其身,保持节操,穷则独善其身，不出卖灵魂，留得清白在人间；现在你音乐会奏了，灵魂出卖了，一片混浊，又没捞到好处，图个什么呢？,穷则保持节操，不把灵魂出卖，留得清白在人间；现在你音乐会奏了，灵魂出卖了，一片混浊，又没捞到好处，图个什么呢？
不见踪影,消失,他无法理解这个曾经在地球上生存、而今却灭绝得不见踪影的庞然大物。,他无法理解这个曾经在地球上生存、而今却灭绝得消失的庞大的物种。
大吉大利,富贵,爸立刻跑去告诉妈，八字合过了，大吉大利。,爸立刻跑去告诉妈，八字合过了，富贵。
默默无言,安静,他这样当笑话说着，挽了默默无言的她从一条夹竹桃编成的窄路上走到水池边。,他这样当笑话说着，挽了安静的她从一条夹竹桃编成的窄路上走到水池边。
满面红光,心情舒畅,我没敢陪他出去，怕不留神递给他一枝烟，破了戒!掌灯之后，他回来了，满面红光，含着笑，从口袋中掏出一包土产卷烟来。,我没敢陪他出去，怕不留神递给他一枝烟，破了戒!掌灯之后，他回来了，心情舒畅，含着笑，从口袋中掏出一包土产卷烟来。
意在言外,暗含,但县党部既然认为你仅仅是‘不孚众望’，那么，并非劣绅，亦就意在言外，你倒很可以出来活动了。,但县党部既然认为你仅仅是‘不孚众望’，那么，并非劣绅，亦就暗含，你倒很可以出来活动了。
寸步不离,紧跟着,一直等到我们参观完了图书馆和许多大楼，吴双总是寸步不离地挽住我的右臂，一直到我们不得不离开学校，不得不同吴双和她妈妈分手为止，吴双眼睛中流露出依恋又颇有一点凄凉的眼神。,一直等到我们参观完了图书馆和许多大楼，吴双总是紧跟着地挽住我的右臂，一直到我们不得不离开学校，不得不同吴双和她妈妈分手为止，吴双眼睛中流露出依恋又颇有一点凄凉的眼神。
满城风雨,人人知道,已经打锣打鼓，闹的满城风雨了，还说给我扯谎！,已经打锣打鼓，闹的人人知道了，还说给我扯谎！
就事论事,不看关联,我不是政府决策人，不懂得治国之道，也不是经济学家有指导社会之术，但作为一个作家，虽也明白写作不能滞止于就事论事，可我无法摆脱一种生来俱有的忧患，使作品写得苦涩沉重。,我不是政府决策人，不懂得治国之道，也不是经济学家有指导社会之术，但作为一个作家，虽也明白写作不能滞止于不看关联，可我无法摆脱一种生来俱有的忧患，使作品写得苦涩沉重。
欲罢不能,在劲头上,难懂并不是不懂，不懂便无动于衷，难懂则诱惑着你去思索，去理解，欲罢不能。,难懂并不是不懂，不懂便没有触动，难懂则诱惑着你去思索，去理解，在劲头上。
百花齐放,繁荣,——戏剧工作者座谈纪念“百花齐放、百家争鸣”方针发表二十周年,——戏剧工作者座谈纪念“繁荣、思想斗艳”方针发表二十周年
百家争鸣,思想斗艳,——戏剧工作者座谈纪念“百花齐放、百家争鸣”方针发表二十周年,——戏剧工作者座谈纪念“繁荣、思想斗艳”方针发表二十周年
说三道四,评论,这本书从写作到编稿，我都没有参加，本没资格说三道四，但因为她是集中反映宁,这本书从写作到编稿，我都没有参加，本没资格评论，但因为她是集中反映宁
形影不离,亲密,她们在学校各归各，出了校门则形影不离。,她们在学校各归各，出了校门则亲密。
针头线脑,零碎玩意,货都是从镇上县上进，凡是村里人需要的东西他都进，比如针头线脑，锅盆碗盏，煤油，烟酒，扫帚，水桶，烧水的壶，罗面的罗儿，铁锨，连枷，绳索，耙钉，斧头，雨伞，暗眼，笊篱，油盐酱醋，茶叶白糖。,货都是从镇上县上进，凡是村里人需要的东西他都进，比如零碎玩意，锅盆碗盏，煤油，烟酒，扫帚，水桶，烧水的壶，罗面的罗儿，铁锨，连枷，绳索，耙钉，斧头，雨伞，暗眼，笊篱，调料，茶叶白糖。
油盐酱醋,调料,货都是从镇上县上进，凡是村里人需要的东西他都进，比如针头线脑，锅盆碗盏，煤油，烟酒，扫帚，水桶，烧水的壶，罗面的罗儿，铁锨，连枷，绳索，耙钉，斧头，雨伞，暗眼，笊篱，油盐酱醋，茶叶白糖。,货都是从镇上县上进，凡是村里人需要的东西他都进，比如零碎玩意，锅盆碗盏，煤油，烟酒，扫帚，水桶，烧水的壶，罗面的罗儿，铁锨，连枷，绳索，耙钉，斧头，雨伞，暗眼，笊篱，调料，茶叶白糖。
你死我活,斗争激烈,洛镇革命委员会之所以流产，就是联指和联总你死我活，矛盾难以调和，他们的头儿更是坐不到一条板凳上，你指责我，我指责你，不共戴天。,洛镇革命委员会之所以流产，就是联指和联总斗争激烈，矛盾难以调和，他们的头儿更是坐不到一条板凳上，你指责我，我指责你，有仇。
不共戴天,有仇,洛镇革命委员会之所以流产，就是联指和联总你死我活，矛盾难以调和，他们的头儿更是坐不到一条板凳上，你指责我，我指责你，不共戴天。,洛镇革命委员会之所以流产，就是联指和联总斗争激烈，矛盾难以调和，他们的头儿更是坐不到一条板凳上，你指责我，我指责你，有仇。
可有可无,不重要,天不成人之美，太太不免要遇事借题发挥一下，不是怨饭煮得不好，就是说岚生先生近来脾气越变越坏了，夜间总不让她好好的睡觉，日里又特别恋床，办公厅的事情也像可有可无的样子。,天不成全别人，太太不免要遇事发挥一下，不是怨饭煮得不好，就是说岚生先生近来脾气越变越坏了，夜间总不让她好好的睡觉，日里又特别恋床，办公厅的事情也像不重要的样子。
挨门挨户,每家,像往常一样，一有需要告人的事情，他把剃头挑子、推子、刨子、锛子、刀、锯、剪、叉往家里一扔，就开始在村里挨门挨户地乱跑。,像往常一样，一有需要告人的事情，他把剃头挑子、推子、刨子、锛子、刀、锯、剪、叉往家里一扔，就开始在村里每家地乱跑。
高不可攀,难以解决,不是高不可攀的，而且只要我们努力，也是能够做到的。,不是难以解决的，而且只要我们努力，也是能够做到的。
无师自通,下意识,我年仅两岁，像望着一片永远割不完的一望无际的麦田一样，嘴里竟无师自通地骂道：,我年仅两岁，像望着一片永远割不完的无边的麦田一样，嘴里竟下意识地骂道：
早出晚归,辛勤劳作,刘四爷也有点看不上祥子：祥子的拚命，早出晚归，当然是不利于他的车的。,刘四爷也有点看不上祥子：祥子的拚命，辛勤劳作，当然是不利于他的车的。
如鱼得水,投合,19日作《如鱼得水，飞跃在“大跃进”的海洋里》，载《人民日报》。,19日作《投合，飞跃在“大跃进”的海洋里》，载《人民日报》。
不干不净,残缺,他也张开了口，这是个习惯，跑步的时候得喊一二三——四，追敌人得不干不净的卷着。,他也张开了口，这是个习惯，跑步的时候得喊一二三——四，追敌人得残缺的卷着。
曾几何时,过去,"曾几何时，被认""为是不治之症的肺结核，已经被征服了......","过去，被认""为是无法治疗的肺结核，已经被征服了......"
子子孙孙,后代,又有孙子，子子孙孙是没有穷尽的。”,又有孙子，后代是没有穷尽的。”
人马喧腾,热闹,不管怎么说，这块土地上应该重新会聚那场人马喧腾、载歌载舞的游行。,不管怎么说，这块土地上应该重新会聚那场热闹、欢快的游行。
载歌载舞,欢快,不管怎么说，这块土地上应该重新会聚那场人马喧腾、载歌载舞的游行。,不管怎么说，这块土地上应该重新会聚那场热闹、欢快的游行。
名不虚传,真实,我当十几年前，在放浪的游程里，曾向瓜州京口一带，消磨过不少的时日；那时觉得果然名不虚传的，确是甘露寺外的江山，而现在到了桐庐，昏夜上这桐君山来一看，又觉得这江山的秀而且静，风景的整而不散，却非那天下第一江山的北固山所可与比拟的了。,我当十几年前，在放浪的游程里，曾向瓜州京口一带，消磨过不少的时日；那时觉得果然真实的，确是甘露寺外的江山，而现在到了桐庐，昏夜上这桐君山来一看，又觉得这江山的秀而且静，风景的整而不散，却非那第一江山的北固山所可与比拟的了。
石沉大海,消息全无,回去以后就如石沉大海，没有一点音信传到高家。,回去以后就如消息全无，没有一点音信传到高家。
天南地北,随机,故事演，有时就索兴自己天南地北地编排，总要闹到塾师出来干涉才罢。,故事演，有时就索兴自己随机地编排，总要闹到塾师出来干涉才罢。
万水千山,遥远,其实，马也好，荒原也好，雨季的少年、梦里的落花、母亲的背影、万水千山的长路，都是好的，没有一样不合自然，没有一样不能接受，虚实之间，周蝴蝶。,其实，马也好，荒原也好，雨季的少年、梦里的落花、母亲的背影、遥远的长路，都是好的，没有一样不合自然，没有一样不能接受，虚实之间，周蝴蝶。
有声有色,精彩,这个沈局长对沈泽民在学校的音容笑貌记忆犹新，描绘得有声有色，沈局长是个健谈而且开朗的人，和茅盾、张仲实他们虽然初次见面，就一见如故，更因和茅盾弟弟同学这一层关系，显得更亲近。,这个沈局长对沈泽民在学校的容貌记忆清晰，描绘得精彩，沈局长是个健谈而且开朗的人，和茅盾、张仲实他们虽然初次见面，就亲切，更因和茅盾弟弟同学这一层关系，显得更亲近。
一见如故,亲切,这个沈局长对沈泽民在学校的音容笑貌记忆犹新，描绘得有声有色，沈局长是个健谈而且开朗的人，和茅盾、张仲实他们虽然初次见面，就一见如故，更因和茅盾弟弟同学这一层关系，显得更亲近。,这个沈局长对沈泽民在学校的容貌记忆清晰，描绘得精彩，沈局长是个健谈而且开朗的人，和茅盾、张仲实他们虽然初次见面，就亲切，更因和茅盾弟弟同学这一层关系，显得更亲近。
原原本本,如实,把他的向往、他的心愿、他的幻想、火车之夜、仟悔和忏悔也不能断绝的诱惑、美丽的和丑陋的、一切燃烧的欲望一切昼思夜梦，都原原本本写在他的日记本上，白纸黑字、诗人相信。,把他的向往、他的心愿、他的幻想、火车之夜、仟悔和忏悔也不能断绝的诱惑、美丽的和丑陋的、一切燃烧的欲望一切昼思夜梦，都如实写在他的日记本上，确凿的证据、诗人相信。
白纸黑字,确凿的证据,把他的向往、他的心愿、他的幻想、火车之夜、仟悔和忏悔也不能断绝的诱惑、美丽的和丑陋的、一切燃烧的欲望一切昼思夜梦，都原原本本写在他的日记本上，白纸黑字、诗人相信。,把他的向往、他的心愿、他的幻想、火车之夜、仟悔和忏悔也不能断绝的诱惑、美丽的和丑陋的、一切燃烧的欲望一切昼思夜梦，都如实写在他的日记本上，确凿的证据、诗人相信。
一厢情愿,自以为,但这喜欢却是一厢情愿，阿二心里不知有多少讨厌邬桥，这讨厌甚至挂在了脸上，使他更具有时代的特征。,但这喜欢却是自以为，阿二心里不知有多少讨厌邬桥，这讨厌甚至挂在了脸上，使他更具有时代的特征。
平易近人,亲切,我很喜欢您的作品，文章亲切，平易近人。,我很喜欢您的作品，文章亲切，亲切。
朝朝暮暮,日夜,无知的人，朝朝暮暮看着它，却不知它的身份。,无知的人，日夜看着它，却不知它的身份。
炉火纯青,熟练,她，三十多岁，一件淡紫缀银片的长礼服拖地，金色长耳环塞肩，脚蹬四寸镂空白皮鞋，头发竖立，编成数十条细辫子，有若蛇发美人，一派非洲风味，双目炯炯有神，含威不怒，脸上荡著笑，却不使人觉得亲切，英语说得极好，一看便是个精明能干的女人，只是还不到炉火纯青，迎接人的方式，显得造作矫情。,她，三十多岁，一件淡紫缀银片的长礼服拖地，金色长耳环塞肩，脚蹬四寸镂空白皮鞋，头发竖立，编成数十条细辫子，有若蛇发美人，一派非洲风味，双目有神，含威不怒，脸上荡著笑，却不使人觉得亲切，英语说得极好，一看便是个干练的女人，只是还不到熟练，迎接人的方式，显得造作矫情。
昏天黑地,整夜,的小旅店的酒吧间，一群失业者终日昏天黑地地喝酒瞎聊，足不出户，各自,的小旅店的酒吧间，一群失业者终日整夜地喝酒瞎聊不出门，各自
乐此不疲,很热爱,郭老汉是清朝的一位武举，会几路拳脚，也能使枪抡棍，常常在傍晚夕阳将尽大地涂金的时刻，骑了马在乡村的宫路上奔驰，即使年过花甲，仍然乐此不疲。,郭老汉是清朝的一位武举，会几路拳脚，也能使枪抡棍，常常在傍晚夕阳将尽大地涂金的时刻，骑了马在乡村的宫路上奔驰，即使年过花甲，仍然很热爱。
有求必应,乐于帮助,舍，主动地去帮助他们，是个有求必应的老师。,舍，主动地去帮助他们，是个乐于帮助的老师。
稍纵即逝,突然消失,据说心理学家们的答案是：你们相处时，是不是感到过一种激情，无论经常，还是曾经偶然，激情就像一种烙印，深刻难忘；而没有激情的历程，就如风过后的涟漪，稍纵即逝。,据说心理学家们的答案是：你们相处时，是不是感到过一种激情，无论经常，还是曾经偶然，激情就像一种烙印，深刻难忘；而没有激情的历程，就如风过后的涟漪，突然消失。
无以复加,极点,当这事情正在北京的交际社会里成话柄的时候，我就佩服志摩的纯真与小曼的勇敢，到了无以复加。,当这事情正在北京的交际社会里成话柄的时候，我就佩服志摩的纯真与小曼的勇敢，到了极点。
摇摇欲坠,晃动,大清朝啊，你这摇摇欲坠的大厦，要倒你就趁早倒了吧，要亡你就痛痛快快地亡了吧！,大清朝啊，你这晃动的大厦，要倒你就趁早倒了吧，要亡你就痛痛快快地亡了吧！
养尊处优,吃饱喝足,猪舍就可以过上养尊处优的幸福生活，它们把进猪舍当成了上屠场，它们放声痛,猪舍就可以过上吃饱喝足的幸福生活，它们把进猪舍当成了上屠场，它们放声痛
随波逐流,盲目跟从,盖吾辈生成傲骨，未能随波逐流，惟死而已，端无生理”等语，鲁迅怀疑他可能是投湖自杀。,盖吾辈生成傲骨，未能盲目跟从，惟死而已，端无生理”等语，鲁迅怀疑他可能是投湖自杀
一败涂地,全无,她愿意士平先生明白陈白是一败涂地了的。,她愿意士平先生明白陈白是全无了的。
九霄云外,脑后,在担任文化部长期间，中央虽然为茅盾配备了助手，但新中国成立后的繁重的文化工作任务，搞不完的一个接一个的政治运动，使茅盾原先想创作的念头，早已抛到九霄云外，茅盾站在国家高度，发现新中国文艺理论的薄弱，不利于新中国文艺建设；另一方面，茅盾又发现文艺界由于历史原因，许多同志在社会主义时期，对文艺的认识还不尽一致。,在担任文化部长期间，中央虽然为茅盾配备了助手，但新中国成立后的繁重的文化工作任务，搞不完的一个接一个的政治运动，使茅盾原先想创作的念头，早已抛到脑后，茅盾站在国家高度，发现新中国文艺理论的薄弱，不利于新中国文艺建设；另一方面，茅盾又发现文艺界由于历史原因，许多同志在社会主义时期，对文艺的认识还不尽一致。
迢迢千里,遥远,法国文人即便相隔三五步也不互相打量，中国文人即便迢迢千里、素昧平生，也要探隐索微、如数家珍。,法国文人即便相隔三五步也不互相打量，中国文人即便遥远、初次相见，也要探隐索微、非常熟悉。
素昧平生,初次相见,法国文人即便相隔三五步也不互相打量，中国文人即便迢迢千里、素昧平生，也要探隐索微、如数家珍。,法国文人即便相隔三五步也不互相打量，中国文人即便遥远、初次相见，也要探隐索微、非常熟悉。
如数家珍,非常熟悉,法国文人即便相隔三五步也不互相打量，中国文人即便迢迢千里、素昧平生，也要探隐索微、如数家珍。,法国文人即便相隔三五步也不互相打量，中国文人即便遥远、初次相见，也要探隐索微、非常熟悉。
大有作为,一番成绩,镇西街村的党支部开会，会就在元黑眼家的厅屋里开，研究着镇西街村怎样在新形势下大有作为的事。,镇西街村的党支部开会，会就在元黑眼家的厅屋里开，研究着镇西街村怎样在新形势下一番成绩的事。
洋洋洒洒,爽快,如今柑香亭畔还有一石碑，为光绪十八年间柳州府事蒋兆奎立，这位长沙籍官员写了洋洋洒洒一大篇碑文，说他从柳宗元身上看到了学识文章。,如今柑香亭畔还有一石碑，为光绪十八年间柳州府事蒋兆奎立，这位长沙籍官员写了爽快一大篇碑文，说他从柳宗元身上看到了学识文章。
无所用心,不动脑子,刘义庆以为是雅事，便是因为谈天气是无所为的，无所用心的。,刘义庆以为是雅事，便是因为谈天气是无所为的，不动脑子的。
不可一世,狂妄,经历变了，他明白再怎么的不可一世，人都是握在一个巨手中，随时可成燕粉，这只巨手就叫命运。,经历变了，他明白再怎么的狂妄，人都是握在一个巨手中，随时可成燕粉，这只巨手就叫命运。
晴天霹雳,震惊,在后来的日子里，沙复明终于找到了一个恰当的成语来描绘当时的情形了，少女的话简直就是“晴天霹雳”，具有震撼人心的力量。,在后来的日子里，沙复明终于找到了一个恰当的成语来描绘当时的情形了，少女的话简直就是“震惊”，具有振奋的力量。
震撼人心,振奋,在后来的日子里，沙复明终于找到了一个恰当的成语来描绘当时的情形了，少女的话简直就是“晴天霹雳”，具有震撼人心的力量。,在后来的日子里，沙复明终于找到了一个恰当的成语来描绘当时的情形了，少女的话简直就是“震惊”，具有振奋的力量。
不知所措,无助,在我惊魂未定，讷讷不知所措的时候，那位先生已牵着小孩和老者慢慢离去，我愣愣的目送他们，三个脚步迟缓的背影构成一幅感人的画面。,在我惊讶，讷讷无助的时候，那位先生已牵着小孩和老者慢慢离去，我愣愣的目送他们，三个脚步迟缓的背影构成一幅感人的画面。
随遇而安,平凡,他也不想随遇而安，却非待事到临头，唤不起他奋斗的,他也不想平凡，却非待事到临头，唤不起他奋斗的
惊世骇俗,不寻常,王安忆的特长是写琐碎生活，《长恨歌》还有惊世骇俗的一面，毕竟王琦瑶当,王安忆的特长是写琐碎生活，《长恨歌》还有不寻常的一面，毕竟王琦瑶当
心惊胆战,害怕,乡长心惊胆战地说，“可别是她。”,乡长害怕地说，“可别是她。”
千钧一发,危急,在这千钧一发的当儿，亏得市长和本区四委员迅速行动，用私人名义担保付款，才得挽回危局。,在这危急的当儿，亏得市长和本区四委员迅速行动，用私人名义担保付款，才得挽回危局。
皆大欢喜,开心,闹风潮是青年血性的激动，是有可原谅的；但是，我们此处的风潮是另有风味的，借题目闹起来，拆房子毁东西，而后大家往家里搬砖拾破烂，学生心满意足，家长也皆大欢喜。,闹风潮是青年血性的激动，是有可原谅的；但是，我们此处的风潮是另有风味的，借题目闹起来，拆房子毁东西，而后大家往家里搬砖拾破烂，学生满意，家长也开心。
倚老卖老,仗着势力,敬老院的人还在打扑克消遣，其中有倚老卖老者说民国，道清朝，明明水就要到来了，还在举例论证不会发水。,敬老院的人还在打扑克消遣，其中有仗着势力者说民国，道清朝，明明水就要到来了，还在举例论证不会发水。
娇生惯养,宠溺,你虽不是什么阔小姐，可也是自小娇生惯养的，做起主妇来，什么都得干一两手；你居然做下去了，而且高高兴兴地做下去了。,你虽不是什么阔小姐，可也是自小宠溺的，做起主妇来，什么都得干一两手；你居然做下去了，而且高高兴兴地做下去了。
人人皆知,有名,玉家卖菜，从此玉家菜园成为人人皆知的的地方了。,玉家卖菜，从此玉家菜园成为有名的的地方了。
妙不可言,美好,他的下身就是在这个妙不可言的瞬间发生了深刻的变化。,他的下身就是在这个美好的瞬间发生了深刻的变化。
鸡毛蒜皮,琐事,破蒲包，鸡毛蒜皮，泔水桶，驴屎马粪琉璃球”，一句话，都不是个,破蒲包，琐事，泔水桶，驴屎马粪琉璃球”，一句话，都不是个
风餐露宿,在野外生活,我们一路上风餐露宿，我吃枯草，主人则从路边的红薯地里捡腐烂的红薯充,我们一路上在野外生活，我吃枯草，主人则从路边的红薯地里捡腐烂的红薯充
骨软筋酥,乏力,牡丹在沉思默想之时，一半似清醒，又有些朦胧态，似乎看到一个东西，而心中正别有所思，对眼前景物则超然忽视，而凝神内敛，每逢她眼光这样看时，真是美得令人骨软筋酥。,牡丹在思考之时，一半似清醒，又有些朦胧态，似乎看到一个东西，而心中正别有所思，对眼前景物则超然忽视，而凝神内敛，每逢她眼光这样看时，真是美得令人乏力。
伤天害理,凶恶,孙荣后来他着急想回国，就用这个伤天害理的办法，临时人工地把斑疹,孙荣后来他着急想回国，就用这个凶恶的办法，临时人工地把斑疹
迟疑不决,犹豫,她迟疑不决，光阴又不等待着任何人，荒来荒去，我也许就长到十多岁了。,她犹豫，光阴又不等待着任何人，荒来荒去，我也许就长到十多岁了。
就地正法,立刻处决,“不实现这个目标，砍掉我的脑袋，就地正法！,不实现这个目标，砍掉我的脑袋，立刻处决！
明媒正娶,庄重婚嫁,她并不感激他，因为既是明媒正娶，她自有她的身分与地位。,她并不感激他，因为既是庄重婚嫁，她自有她的身分与地位。
鼓舞人心,振奋,都会打上历史唯物论的印记，都会具有深刻的社会意义，起到进步的和鼓舞人心的社会,都会打上历史唯物论的印记，都会具有深刻的社会意义，起到进步的和振奋的社会
假公济私,牟利,什么假公济私，人家几千几万地倒腾，不照样做着大官！,什么牟利，人家几千几万地倒腾，不照样做着大官！
皮开肉绽,惨烈,于是，朱将沈带走，将屁股红肿或皮开肉绽的我们众人留在了旷野上。,于是，朱将沈带走，将屁股红肿或惨烈的我们众人留在了旷野上。
单枪匹马,独自,你现在还能再脱离李葫芦，自己再单枪匹马干不成？,你现在还能再脱离李葫芦，自己再独自干不成？
六神无主,惊慌,闷热的夏夜六神无主，无所作为，诗人的心绪无着无落。,闷热的夏夜惊慌，没有成就，诗人的心绪无着无落。
无所作为,没有成就,闷热的夏夜六神无主，无所作为，诗人的心绪无着无落。,闷热的夏夜惊慌，没有成就，诗人的心绪无着无落。
捶胸顿足,心痛,李登云已经顾不了体统，在院长等人进手术室之前，捶胸顿足地哭着说：“我就这一个儿子呀！,李登云已经顾不了体统，在院长等人进手术室之前，心痛地哭着说：“我就这一个儿子呀！
赶尽杀绝,残忍,及至瑞丰拒绝了菊子的请求，东阳提议请瑞丰作介绍人，以便表示出赶尽杀绝。,及至瑞丰拒绝了菊子的请求，东阳提议请瑞丰作介绍人，以便表示出残忍。
诚惶诚恐,害怕,"又有些胜利者，当克服一切之后，看见死的死了，降的降了，""臣诚惶诚恐死罪死罪""，他于是没有了敌人，没有了对手，没有了朋友，只有自己在上，一个，孤另另，凄凉，寂寞，便反而感到了胜利的悲哀。","又有些胜利者，当克服一切之后，看见死的死了，降的降了，""臣害怕死罪死罪""，他于是没有了敌人，没有了对手，没有了朋友，只有自己在上，一个，孤另另，凄凉，寂寞，便反而感到了胜利的悲哀。"
大开眼界,长见识,此时的广州，全国许多政治精英都汇集在一起，给青年茅盾大开眼界，在“二大”，他认识了不少政治名流。,此时的广州，全国许多政治精英都汇集在一起，给青年茅盾长见识，在“二大”，他认识了不少政治名流。
抛头露面,在外奔走,“不要怕，琴姐天天抛头露面，也没有给人吃掉。,“不要怕，琴姐天天在外奔走，也没有给人吃掉。
无孔不入,坚强,看见自己的同胞无孔不入的在世界各地找生活，即使在宏都拉斯这样贫穷而幽暗的地方，也住了下来，心中总是一阵又一阵说不出的黯然。,看见自己的同胞坚强的在世界各地找生活，即使在宏都拉斯这样贫穷而幽暗的地方，也住了下来，心中总是一阵又一阵说不出的黯然。
不省人事,昏迷,到了一点一分的时候，哈密道人忽然倒在地下，不省人事了。,到了一点一分的时候，哈密道人忽然倒在地下，昏迷了。
穷途末路,没办法,能在这种穷途末路的时候离开哈尔滨，是我梦寐以求的，更何况向北的旅途又有马孔多为伴呢。,能在这种没办法的时候离开哈尔滨，是我梦想的，更何况向北的旅途又有马孔多为伴呢。
有目无睹,瞎了眼,可是我们有目无睹，仍旧逍遥自在；等因奉此是唯一的公事，奉命唯谨落个好官，我自为之，别无可虑。,可是我们瞎了眼，仍旧逍遥；按规章做是唯一的公事，小心谨慎落个好官，我自为之，别无可虑。
等因奉此,按规章做,可是我们有目无睹，仍旧逍遥自在；等因奉此是唯一的公事，奉命唯谨落个好官，我自为之，别无可虑。,可是我们瞎了眼，仍旧逍遥；按规章做是唯一的公事，小心谨慎落个好官，我自为之，别无可虑。
令人作呕,恶心,风里满是腥气，有土腥、水腥，更多的还是那种令人作呕的蚂蚱腥。,风里满是腥气，有土腥、水腥，更多的还是那种恶心的蚂蚱腥。
当仁不让,主动做,“寒士，不过呢，当仁不让，我也拿吟老那个数儿吧。,“寒士，不过呢，主动做，我也拿吟老那个数儿吧。
瓜熟蒂落,自然成功,然后，水到渠成，瓜熟蒂落，什么力量也阻止不了他们了。,然后，时间成熟，自然成功，什么力量也阻止不了他们了。
汪洋大海,困境,蚂蚁窝炸开了，一小撮拼了命地逃，更多的即刻就陷入了汪洋大海。,蚂蚁窝炸开了，一小撮拼了命地逃，更多的即刻就陷入了困境。
度日如年,难熬,马副镇长在院子里说：只说这一年过得快，没想到腊月了却度日如年！,马副镇长在院子里说：只说这一年过得快，没想到腊月了却难熬！
黯然失色,低落,记忆已经黯然失色，而印象是我鲜活的生命。,记忆已经低落，而印象是我鲜活的生命
忘乎所以,得意,他今天指挥了一场战斗，有些忘乎所以，有些不知天高地厚；革命要胜利了，他想篡权，想在他不在场的情况下自己指挥部队。,他今天指挥了一场战斗，有些得意，有些骄狂；革命要胜利了，他想篡权，想在他不在场的情况下自己指挥部队。
风花雪月,鲜活,慢慢的，我又步回过去的我了，也就是说，我又在风花雪月起来。,慢慢的，我又步回过去的我了，也就是说，我又在鲜活起来。
龙飞凤舞,狂写,"""医生拿起了处方，龙飞凤舞，说：""先消炎，再忙你也得先消炎。","""医生拿起了处方，狂写，说：""先消炎，再忙你也得先消炎。"
如数家珍,都知道,大半辈子的对手，相互尽知底细，连彼此家境也如数家珍，年年月月的监狱生活使他们成了好友。,大半辈子的对手，相互尽知底细，连彼此家境也都知道，年年月月的监狱生活使他们成了好友。
锦上添花,美好地形容,这是我对三毛的认识，那么多人喜爱读她的文章，我不用再锦上添花说什么了。,这是我对三毛的认识，那么多人喜爱读她的文章，我不用再美好地形容说什么了。
潜移默化,慢慢形成,段落背诵下来，甚至高声朗读，这样就能够潜移默化，真正吸收这个作家的,段落背诵下来，甚至高声朗读，这样就能够慢慢形成，真正吸收这个作家的
鸡飞狗跳,惊慌,家子，鸡飞狗跳，烟薰火燎，像个野营宿地。,家子，惊慌，烟薰火燎，像个野营宿地。
一走了之,不再回来,他想离开沧州一走了之，但又觉得对不住章楚红，也让章楚红看不起；让人看不起倒没什么，从此可以和她一辈子不见面，关键是自己想起来，一辈子觉得窝囊。,他想离开沧州不再回来，但又觉得对不住章楚红，也让章楚红看不起；让人看不起倒没什么，从此可以和她一辈子不见面，关键是自己想起来，一辈子觉得窝囊。
弄巧成拙,出于好心却办坏事,那时，我才发现自己弄巧成拙，请莫里回家吃顿苦饭，却没有想到挡掉了他下半夜的财路。,那时，我才发现自己出于好心却办坏事，请莫里回家吃顿苦饭，却没有想到挡掉了他下半夜的财路
各奔前程,分别,如增加了序幕，写了她与诗人在爱女墓地分手各奔前程；来到大都市的陈白,如增加了序幕，写了她与诗人在爱女墓地分手分别；来到大都市的陈白
愣头愣脑,呆滞,妈妈老说我愣头愣脑不懂事，我自己倒觉得蛮横的，我看了《欲望街车》回家难受了老半天，我不懂马龙白兰度对费文丽为什么那么残忍，费文丽那副可怜已巴的样子，好要人疼的。,妈妈老说我呆滞不懂事，我自己倒觉得蛮横的，我看了《欲望街车》回家难受了老半天，我不懂马龙白兰度对费文丽为什么那么残忍，费文丽那副可怜的样子，好要人疼的。
别出心裁,有新意,他别出心裁，给了我个电话号码，让我自己找她“联系”。,他有新意，给了我个电话号码，让我自己找她“联系”。
破涕为笑,不再伤心,麻子外爷瞧小水真的哭了，忙过来要劝时，身子却趔趄不稳，样子滑稽，小水破涕为笑，说：“要倒了，要倒了！”,麻子外爷瞧小水真的哭了，忙过来要劝时，身子却趔趄不稳，样子滑稽，小水不再伤心，说：“要倒了，要倒了！”
不分彼此,关系密切,其实是纵不把我们，二哥的东西，我们是仍然要大家不分彼此的让着来吃的。,其实是纵不把我们，二哥的东西，我们是仍然要大家关系密切的让着来吃的。
化为乌有,消失,顷刻间，过去的铁锅、门环、女人头上的簪子，都化为乌有。,顷刻间，过去的铁锅、门环、女人头上的簪子，都消失。
无稽之谈,没有根据,外边的话，请方部长仔细考察，就知道全是无稽之谈了。,外边的话，请方部长仔细考察，就知道全是没有根据了。
兴风作浪,制造事端,现实既有黑暗的一面，掩饰是徒劳的，唯有敢于正视而给以正确的探研，然后能杜绝破坏者的兴风作浪而消除人民的忧疑恐怖。,现实既有黑暗的一面，掩饰是徒劳的，唯有敢于正视而给以正确的探研，然后能杜绝破坏者的制造事端而消除人民的忧疑恐怖。
