idiom,explanation,original_sentence,original_paraphrase
策略运用,战术上的理由,"很明显的是，克莱里季斯先生说他参加两族会谈是基于策略运用，""以便土族塞人一方所拒绝的，他就答应，从而暴露土族塞人一方冥顽不灵""，这绝对是真心话。","因此，克莱里季斯先生显然是最真诚的，他说他参加两族会谈是出于战术上的理由，""以便每当土族塞人一方所拒绝时，他就答应，从而暴露土族塞人一方的顽固态度""。"
低三下四,谦卑,艾克曼不是一个低三下四的警察畜生。,艾克曼不是一个谦卑的警察畜生。
自圆其说,解释得通,沃德女士从朋友家人那里得到了很多帮助，但她的文章还是不能自圆其说。,沃德女士从朋友家人那里得到了很多帮助，但她的文章还是不能解释得通。
的我如出,时,他们和当年追名逐利的我如出一辙，同样悲惨。,他们和我当年追求名利时一样痛苦。
望而生畏,害怕,普特洛克勒斯，如果你能穿上他的盔甲，也许能令特洛伊人望而生畏、退避三舍。,普特洛克勒斯，如果你能穿上他的盔甲，也许能令特洛伊人害怕、退兵。
鬼鬼祟祟,偷偷,或者是在长城断垣残壁的见证下，鬼鬼祟祟地穿越广袤的蒙古草原？,或者是在长城残破的墙面的见证下，偷偷地穿越广袤的蒙古草原？
日暮途穷,即将走到尽头,这位伟大的国王已感日暮途穷。,这位伟大的国王已感即将走到尽头。
兵临城下,开始,世界末日的到来不会是因为野蛮人兵临城下，而将是因为野蛮人占据着国家最高层。,世界的尽头不是从门口的野蛮人开始，而将是因为野蛮人占据着国家最高层。
荡气回肠,繁荣,2004年的全球海事界荡气回肠，航运、造船全线飘红。,22004年的全球海事界繁荣，航运、造船全线飘红。
谆谆教导,话,他们的谆谆教导，语重心长，甚至孜孜不倦地为你树立起人生正确的航行。,他们真诚的话语和由衷的祝愿，甚至他们坚定的决心，对你建立正确的人生旅程都是有益的。
卷帙浩繁,篇幅很长,鉴于记录誊本卷帙浩繁，他赞成以电子形式移交经核证的副本。,鉴于记录誊本篇幅很长，他赞成以电子形式移交经核证的副本。
卧薪尝胆,发奋自强,（卧薪尝胆）春秋时期，吴国和越国之间进行了一场战争，吴王不幸受了重伤，不久就死了。,（发奋自强）春秋时期，吴国和越国之间进行了一场战争，吴王不幸受了重伤，不久就死了。
行家里手,精通这种业务的人,他是一位鉴定古玩的行家里手。,他是一位鉴定古玩的精通这种业务的人。
庸庸碌碌,平凡无奇,天生此人，注定他一辈子庸庸碌碌。,天生此人，注定他一辈子平凡无奇。
无懈可击,严密,当然正是这些学生众口一词地说他们打心眼里热爱写作，而这种激情对于选择任何职业都是无懈可击的理由。,当然正是这些学生一致地说他们打心眼里热爱写作，而这种激情对于选择任何职业都是严密的理由。
一锤定音,做事干脆,应该将最终文本提交给一个一锤定音的立法投票，而且不允许修改。,应该将最终文本提交给一个做事干脆的立法投票，而且不允许修改。
眉来眼去,调情,她低着头响应他的赞美，并眨着睫毛跟他眉来眼去。,她低着头响应他的赞美，并眨着睫毛跟他调情。
唯唯诺诺,恭敬顺从,政府同往常一样唯唯诺诺，对他们的要求作出让步。,政府同往常一样恭敬顺从，对他们的要求作出让步。
死心塌地,止坚定,应当加强国际不扩散法律制度，以便预防死心塌地的扩散者违反其国际义务。,应加强国际不扩散法律制度，以防止坚定的扩散者违反其国际义务。
天涯海角,远处,过去，有的人把风筝放上蓝天后，便剪断牵线，任凭清风把它们送往天涯海角，据说这样能除病消灾，给自己带来好运。,过去，有的人把风筝放上蓝天后，便剪断牵线，任凭清风把它们送往远处，据说这样能除病消灾，给自己带来好运。
深不可测,神秘,远望那深不可测浩瀚无垠的太空，欧文感到茫然，真不知是什么样的上帝或神力创造并维系着这宇宙的一切。,远望那神秘浩瀚的太空，欧文感到茫然，真不知是什么样的上帝或神力创造并维系着这宇宙的一切。
一丝不苟,做事认真细致,他一丝不苟地准备着，他必须要做的是在球场上彻底展现自己。,他做事认真细致地准备着，他必须要做的是在球场上彻底展现自己。
一本正经,庄重、规矩、非常认真,当他把新朋友一本正经地介绍给后这的前妻时，他的确是闹了个天大的笑话。,当他把新朋友庄重、规矩、非常认真地介绍给后这的前妻时，他的确是闹了个天大的笑话。
神魂颠倒,失去常态,当我结束假期回家后，我们互通了几封电子邮件，我很难掩饰我对他有多神魂颠倒。,当我结束假期回家后，我们互通了几封电子邮件，我很难掩饰我对他有多失去常态。
沉疴难起,患有重病,我们应该为世界各地数百万沉疴难起、孤立无助的无辜受害者争取他们的权利,我们应该为世界各地数百万患有重病、孤立没有帮助的无辜受害者争取他们的权利。
生死相依,共同患难,这件石马，表现的是和霍去病生死相依的马。,这件石马，表现的是和霍去病共同患难的马。
千刀万剐,受折磨,吕留良气愤道：“清廷皇帝倘若将我捉到北京，拼着千刀万剐，好歹也要痛骂他一场，出了胸中这口恶气，才痛痛快快的就死。”,吕留良气愤道：“清廷皇帝倘若将我捉到北京，拼着受折磨，好歹也要痛骂他一场，出了胸中这口恶气，才痛快的就死。”
纸醉金迷,奢侈,但这纸醉金迷的浮华生活也有黑暗的一面。,但这奢侈的浮华生活也有黑暗的一面。
眉飞色舞,得意,下了课，看她眉飞色舞的，问她有什么是兴奋。,下了课，看她得意的，问她有什么是兴奋。
就一拥而,都冲了,卡车停了下来，等候着的人就一拥而上。,卡车停了下来，等候的人都冲了上来。
洗手不干,重新做人,你以为我是谁?，你要我相信他真会洗手不干？,你以为我是谁?，你要我相信他真会重新做人？
破釜沉舟,不留后路,在长江率部身陷敌军包围圈的时候他做出了一个赌博式的决定：“破釜沉舟”。,在长江率部身陷敌军包围圈的时候他做出了一个赌博式的决定不留后路。
落井下石,乘人有危难时加以陷害的行为,运动营销专家表示，广告商在这种时候终止赞助协议可能会被看作落井下石。,运动营销专家表示，广告商在这种时候终止赞助协议可能会被看作乘人有危难时加以陷害的行为。
推陈出新,去掉旧事物的糟粕，取其精华,瑶天酒店用品厂紧随国际酒店潮流推陈出新，不断提高产品质量、完善产品结构。,瑶天酒店用品厂紧随国际酒店潮流去掉旧事物的糟粕，取其精华，不断提高产品质量、完善产品结构。
患难与共,关系密切利害一致,事实证明，中巴是患难与共的真正朋友。,事实证明，中巴是关系密切利害一致的真正朋友。
其貌不扬,长相丑陋,两个爱人像精灵般把我诱惑，一个叫安慰，另外一个叫绝望：善的天使是个男子，丰姿绰约；恶的幽灵是个女人，其貌不扬。,两个爱人像精灵般把我诱惑，一个叫安慰，另外一个叫绝望：善的天使是个男子，身姿妖娆；恶的幽灵是个女人，长相丑陋。
贼眉鼠眼,狡猾,玛丽看到一个贼眉鼠眼的男人走进邻居家里。,玛丽看到一个狡猾的男人走进邻居家里。
夜郎自大,狂妄,一个过于夜郎自大和主导一切的国家机器可能导致领导人随意用这个机器来对付其政敌。,一个过于狂妄和主导一切的国家机器可能导致领导人随意用这个机器来对付其政敌。
歌舞升平,依然活得安逸,它不能继续任凭加沙在燃烧而自己歌舞升平。,它不能继续任凭加沙在燃烧而自己依然活得安逸。
卑躬屈节,顺从,男子汉做错事时会认错，但不会对任何人卑躬屈节。,男子汉做错事时会认错，但不会对任何人顺从。
若有若无,淡淡,叮铃铃，上课铃把我拉回现实之中，让我回到了属于自己的空间，这若有若无的幸福，真好！,叮铃铃，上课铃把我拉回现实之中，让我回到了属于自己的空间，这淡淡的幸福，真好！
俯首听命,顺从,美国再度使其欧洲联盟内的盟友和同谋处于对该超级大国俯首听命、亦步亦趋的荒唐处境；华盛顿对此并不在乎。,美国再度使其欧洲联盟内的盟友和同谋处于对该超级大国顺从、效仿别人的荒唐处境；华盛顿对此并不在乎。
亦步亦趋,效仿别人,美国再度使其欧洲联盟内的盟友和同谋处于对该超级大国俯首听命、亦步亦趋的荒唐处境；华盛顿对此并不在乎。,美国再度使其欧洲联盟内的盟友和同谋处于对该超级大国顺从、效仿别人的荒唐处境；华盛顿对此并不在乎。
婆婆妈妈,啰嗦,你也太婆婆妈妈的了。,你也太啰嗦的了。
达官贵人,权势,必须增强公正而独立的土地争端解决委员会的实力，并给予它们对所有对土地所有权提出要求者的权威性，以便公正地作出裁决，而不受达官贵人如武装部队成员或地方当局的压力影响。,必须增强公正而独立的土地争端解决委员会的实力，并给予它们对所有对土地所有权提出要求者的权威性，以便公正地作出裁决，而不受权势如武装部队成员或地方当局的压力影响。
灯红酒绿,都市繁华热闹的景象,他们只想冰棍到大自然，而不只是灯红酒绿贪婪回归自然。,他们只想冰棍到大自然，而不只是都市繁华热闹的景象贪婪回归自然。
鼻青脸肿,很萧条,无论结果怎样，希腊经济的崩溃显然都已经令欧盟鼻青脸肿。,无论结果怎样，希腊经济的崩溃显然都已经令欧盟很萧条。
一网打尽,都赶下来呢,不管怎样，为什么我们现在不去把他们一网打尽？,不过，我们现在为什么不把他们都赶下来呢？
举手投足,做出行为,举手投足的恍惚刹那间，谁把韶光偷换，谁把流年暗藏？,做出行为的片刻间，谁偷来的是韶光，谁隐藏了短暂的时光？
恍惚刹那,片刻,举手投足的恍惚刹那间，谁把韶光偷换，谁把流年暗藏？,做出行为的片刻间，谁偷来的是韶光，谁隐藏了短暂的时光？
把流年暗,隐,举手投足的恍惚刹那间，谁把韶光偷换，谁把流年暗藏？,做出行为的片刻间，谁偷来的是韶光，谁隐藏了短暂的时光？
游刃有余,镇定,最后一个月冲刺了，大家要好好研读这套真题和以后的真题，达到烂熟于心，考试时自然游刃有余。,最后一个月冲刺了，大家要好好研读这套真题和以后的真题，达到烂熟于心，考试时自然镇定。
起死回生,活过来,而且虽然我们的病人是病人中最麻烦、最任性的——可是她总算起死回生了。,而且虽然我们的病人是病人中最麻烦、最任性的——可是她总算活过来了。
线钓大鱼,远来看,放长线钓大鱼：对于那些能经常和你玩的对手，千万不可以逢赌必赢。,从长远来看：对于那些经常能和你的对手一起比赛的人来说，你不可能总是获胜。
洞察秋毫,敏锐,他说，“这么说吧，幸运的是巴西民众保持了洞察秋毫的警觉。”,他说，“这么说吧，幸运的是巴西民众保持了敏锐的警觉。”
就是群魔,太,伦敦的例行表演中登场的那些舞者简直就是群魔乱舞。,伦敦的例行表演中登场的那些舞者简直太乱了。
不言而谕,道理很明显,第三条反对意见是沉默，不言而谕：为什么要跑到老远地方用三天时间吵架或者互相不理睬。,第三条反对意见是沉默，道理很明显：为什么要跑到老远地方用三天时间吵架或者互相不理睬。
旁征博引,大量参考,通过大胆或旁征博引的判决裁决了对政客和官僚提出的国家问责制案件。,通过大胆或大量参考的判决裁决了对政客和官僚提出的国家问责制案件。
嗜杀成性,残暴,在影片《美国狂人》中，贝尔饰演一个典型的雅皮士，他拥有成功的事业、名牌服装和作为一名“高等人类”所必需的一切，而与此同时他还是一个嗜杀成性的连环杀手。,在影片《美国狂人》中，贝尔饰演一个典型的雅皮士，他拥有成功的事业、名牌服装和作为一名“高等人类”所必需的一切，而与此同时他还是一个残暴的连环杀手。
面不改色,神情冷静,古丽是一个致命的杀手，能杀人于转瞬之间，且面不改色心不跳。,古丽是个致命的刺客，一瞬间能杀人，且神情冷静心不跳
蓬头垢面,很邋遢,他蓬头垢面且衣衫不整。,他很邋遢且衣服破旧。
作壁上观,站在一旁看着，不动手帮助,好像他从一个阶级转变到了另一个阶级，投入到了他以前只作壁上观的激情和政治。,好像他从一个阶级转变到了另一个阶级，投入到了他以前只站在一旁看着，不动手帮助的激情和政治。
目光炯炯,眼睛犀利,一个在刚果的野地里漫跑、未开化的非洲人，对自由权利的热爱丝毫不亚于一个目光炯炯的政治经济学家；,一个在刚果的野地里漫跑、未开化的非洲人，对自由权利的热爱丝毫不亚于一个眼睛犀利的政治经济学家；
捕风捉影,没有依据,那些报道大多数都是一场噩梦――离奇古怪，捕风捉影，煞有介事，而且不真实。,那些报道大多数都是一场噩梦――奇怪，没有依据，装样子，像真有那么一回事似的，而且不真实。
逢场作戏,玩弄，你,物价会飞腾;政客会逢场作戏;也会变老。,物价会上涨，政治家会玩弄，你也会老的。
屁滚尿流,非常惊恐、十分狼狈,我刚才还被吓得屁滚尿流的。,我刚才还被吓得非常惊恐、十分狼狈的。
得寸进尺,不断,我遗憾地通知你，由于占领国以色列得寸进尺地违反国际人道主义法和人权法，被以色列非法监禁和关押的巴勒斯坦政治犯继续身处险境，他们本已令人悲叹的生活条件不断恶化。,我遗憾地通知你，由于占领国以色列不断地违反国际人道主义法和人权法，被以色列非法监禁和关押的巴勒斯坦政治犯继续身处险境，他们本已令人悲叹的生活条件不断恶化。
出尔反尔,无常,王秀丽已经习惯了政府的出尔反尔。,王秀丽习惯了政府决策的无常。
闻名于世,著称,曾经以诚实智慧闻名于世的印度总理曼莫汉·辛格如今也已陷入瘫痪，面对同样蛊惑人心的民粹运动无法采取统一有效的行动。这次民粹运动是由绝食活动家安纳·赫扎尔领导的反腐败改革运动，前不久刚刚以充满狂热混乱的妥协宣告结束。,曾经以诚实智慧著称的印度总理曼莫汉·辛格如今也已陷入瘫痪，面对同样煽动人心的民粹运动无法采取统一有效的行动。这次民粹运动是由绝食活动家安纳·赫扎尔领导的反腐败改革运动，前不久刚刚以充满狂热混乱的妥协宣告结束。
不拘形迹,自然,只要主教不说话，她总用一种恭敬而又不拘形迹的态度和他谈个不休；主教一开口，她又和那位姑娘一样，服服帖帖唯命是从了，这是大家都见过的,只要主教不说话，她总用一种恭敬而又自然的态度和他谈个不休；主教一开口，她又和那位姑娘一样，服服帖帖是命令就服从不敢反抗了，这是大家都见过的。
步履蹒跚,腿脚不方便,脸上皱纹满布，银丝满头，雄姿英发的爸爸也体衰力弱，步履蹒跚，只能“插翼而飞”。,脸上皱纹满布，银丝满头，威武雄壮的爸爸也体衰力弱，腿脚不方便，只能“插翼而飞”。
靡靡之音,低俗的乐曲,那个年代的人大都知道，通俗歌曲被成为“靡靡之音”，是禁播禁听的。,那个年代的人大都知道，通俗歌曲被成为“低俗的乐曲”，是禁播禁听的。
遗世独立,超脱,甚至那遗世独立的思想是只能在显微镜下才能依洗到的一小步，也能增加你对于这个世界的贡献。,甚至那超脱的思想是只能在显微镜下才能依洗到的一小步，也能增加你对于这个世界的贡献。
束手待毙,无助等死,它毫无作为、束手待毙，脆弱的新西兰人只能在失去工作的边缘苦苦挣扎。,它毫无作为、无助等死，脆弱的新西兰人只能在失去工作的边缘苦苦挣扎。
兴味索然,无聊,凯瑟琳，别认为、也别说我很不舒服；是这闷热的天气使我兴味索然；而且在你来以前我走来走去，对我来说，是走得太多了。,凯瑟琳，别认为、也别说我很不舒服；是这闷热的天气使我无聊；而且在你来以前我走来走去，对我来说，是走得太多了。
无法忍受,最痛恨,朱丽叶是他异父长兄的妻子，对他来说，也是无法忍受的肉中刺。,朱丽叶是他异父长兄的妻子，对他来说，也是最痛恨的。
有生之年,活着的时候,几乎没有其他的央行行长能够像格林斯潘那样在有生之年得到大书特书的偶像般传记。,几乎没有其他的央行行长能够像格林斯潘那样在活着的时候得到非凡的偶像般传记。
大书特书,非凡,几乎没有其他的央行行长能够像格林斯潘那样在有生之年得到大书特书的偶像般传记。,几乎没有其他的央行行长能够像格林斯潘那样在活着的时候得到非凡的偶像般传记。
自掘坟墓,找死,联合国各主要机关均以三分之二多数作为决定基础，因此，制订这种高标准是自掘坟墓。,联合国各主要机关均以三分之二多数作为决定基础，因此，制订这种高标准是找死。
伤天害理,残忍,就在我干下这个伤天害理的勾当的当天晚上，我在睡梦中忽听得喊叫失火，马上惊醒。,就在我干下这个残忍的勾当的当天晚上，我在睡梦中忽听得喊叫失火，马上惊醒。
重整旗鼓,变得更好,希望新教练能使这个足球队重整旗鼓。,希望新教练能使这个足球队变得更好。
气象万千,多样,比起波澜壮阔、气象万千的作品，这些清新绝俗的小品诗或许更有它令人喜爱的特色。,与宏伟、多样的作品相比，这些清新绝俗的小品诗或许更有它令人喜爱的特色。
手足无措,举动慌乱或没有办法应付,索尼娅不知道在伯爵前后矛盾的指派下到底该干什么，完全手足无措。,索尼娅不知道在伯爵前后矛盾的指派下到底该干什么，完全举动慌乱或没有办法应付。
入不敷支,没钱,事实上，香港警队过往的集团式贪污罪行已经消声匿迹，现时警队内的个别贪污行为亦受到控制。目前的贪污个案，主要牵涉警务人员因入不敷支、债台高筑或投资失利等私人因素才铤而走险。,事实上，香港警队过往的集团式贪污罪行已经消失，现时警队内的个别贪污行为亦受到控制。目前的贪污个案，主要牵涉警务人员因没钱、负债或投资失利等私人因素才冒险。
偷偷摸摸,瞒着别人,他不只是出钱，有时他的下属会吃惊地发现他在附近的街道上偷偷摸摸地捡垃圾。,他不只是出钱，有时他的下属会吃惊地发现他在附近的街道上瞒着别人地捡垃圾。
无济于事,没有用,男孩的双脚特别臭，天天冲澡都无济于事，但他依旧欢欢喜喜地忍受着“恶臭”这个名字。,男孩的双脚特别臭，天天冲澡都没有用，但他依旧欢欢喜喜地忍受着“恶臭”这个名字。
手眼通天,善于钻营,华尔街的品行不端很难说是唯一危害经济的因素，而且华尔街里那些手眼通天的家伙可以在更大的全球范围内很容易地找到替罪羊的。,华尔街的品德不高尚，行为举止不正派很难说是唯一危害经济的因素，而且华尔街里那些善于钻营的家伙可以在更大的全球范围内很容易地找到顶罪的。
梁上君子,窃贼,梁上君子经常光顾这些店。,窃贼经常光顾这些店。
烟波浩渺,广阔无边,哈巴尼亚是距巴格达西南75公里的一个烟波浩渺的淡水湖。,哈巴尼亚是距巴格达西南75公里的一个广阔无边的淡水湖。
单方面的,所谓,在这样的情况下，如果企图以牺牲它国安全为代价来寻求单方面的绝对安全，无异于缘木求鱼，其结果必然是害人又害己。,在这种情况下，以其他国家为代价为自己谋求所谓绝对安全的企图肯定不会有任何结果，也不会使任何人受益。
必然是害,，也不会使任何,在这样的情况下，如果企图以牺牲它国安全为代价来寻求单方面的绝对安全，无异于缘木求鱼，其结果必然是害人又害己。,在这种情况下，以其他国家为代价为自己谋求所谓绝对安全的企图肯定不会有任何结果，也不会使任何人受益。
一衣带水,亲密,中国和日本是一衣带水的近邻。,中国和日本是亲密的近邻。
风流倜傥,有才华潇洒,极少风流倜傥纨绔之人，多是满脸血汗，从从逆境中拼杀出来的勇士。,极少有才华潇洒纨绔之人，多是满脸血汗，从从逆境中拼杀出来的勇士。
心中无数,并不确定,他强调说，如果连内部监督事务厅（监督厅）都不遵守规定的时间，那么人们对其他机构能否遵守自然心中无数。,他强调说，如果连内部监督事务厅（监督厅）都不遵守规定的时间，那么人们对其他机构能否遵守自然并不确定。
初露头角,刚刚显示出才能,在读到这些的时候，你可能正是一个初露头角的葡萄酒爱好者。,在读到这些的时候，你可能正是一个刚刚显示出才能的葡萄酒爱好者。
俯首贴耳,恭敬,在这一过程中，在俯首贴耳的追随者的协助下，他们撕毁《宪章》，力图使秘书处沦为一个顺从的工具，以及羞辱大会和世界，以使联合国组织仅代表他们。,在这一过程中，在恭敬的追随者的协助下，他们撕毁《宪章》，力图使秘书处沦为一个顺从的工具，以及羞辱大会和世界，以使联合国组织仅代表他们。
群龙无首,领袖,将军死亡使这支军队群龙无首。,将军死亡使这支军队领袖。
伶牙俐齿,擅长言辞,在这群过分自信，学识渊博，伶牙俐齿的人中间，她总仿佛觉得自己过于懒散，笨头笨脑的。,在这群过分自信，知识深厚，擅长言辞的人中间，她总仿佛觉得自己过于懒散，笨头笨脑的。
明察秋毫,眼光敏锐,你真是明察秋毫，问题的原因这么快就找出来了。,你真是眼光敏锐，问题的原因这么快就找出来了。
拉帮结派,搞小团体,他告诉访问团，前一任部长在职期间，警察队伍内部拉帮结派，东帝汶人必须吸取过去的教训。,他告诉访问团，前一任部长在职期间，警察队伍内部搞小团体，东帝汶人必须吸取过去的教训。
三五成群,一起,这种植物通常由尖叶生长在三五成群标识。,这种植物通常由尖叶生长在一起标识。
惹是生非,引起争端制造麻烦,通过朝美对抗的整个历史过程，美国认识到只用核问题惹是生非，对朝鲜施加政治军事上的威胁和压力、经济封锁就不能颠覆以人民群众为中心的社会主义制度，从而妄图捏造人权问题施加压力。,通过朝美对抗的整个历史过程，美国认识到只用核问题引起争端制造麻烦，对朝鲜施加政治军事上的威胁和压力、经济封锁就不能颠覆以人民群众为中心的社会主义制度，从而妄图捏造人权问题施加压力。
如坐针毡,很不安,他们这样原谅他反而使他如坐针毡。,他们这样原谅他反而使他很不安。
虎视眈眈,贪婪地恶狠狠地盯着,虎视眈眈一天，一个人在度假时被一名疯狂的强盗抓了起来,贪婪地恶狠狠地盯着一天，一个人在度假时被一名疯狂的强盗抓了起来
风姿绰约,非常美丽,她容颜姣好，风姿绰约，满口甜言蜜语。,她容颜姣好，非常美丽，满口好听的话。
甜言蜜语,好听的话,她容颜姣好，风姿绰约，满口甜言蜜语。,她容颜姣好，非常美丽，满口好听的话。
如日中天,兴盛,如果能在北京（奥运会）拿到一块金牌，他的人气将会如日中天。,如果能在北京（奥运会）拿到一块金牌，他的人气将会兴盛。
鱼肉乡里,宰割百姓,不像在中国那样，印度政府根本不可能横行霸道、鱼肉乡里，把一个村庄铲平来修建道路或者水坝。,不像在中国那样，印度政府根本不可能行动蛮横霸道、宰割百姓，把一个村庄铲平来修建道路或者水坝。
耳提面命,严格要求,英格丽特频繁地给女儿写信，不断地对女儿耳提面命，母亲的信成了贯穿整部小说的线索。,英格丽特频繁地给女儿写信，不断地对女儿严格要求，母亲的信成了贯穿整部小说的线索。
心照不宣,彼此都明白,一个心照不宣的手势，胜过万语千言。,一个彼此都明白的手势，胜过许多话。
万语千言,许多话,一个心照不宣的手势，胜过万语千言。,一个彼此都明白的手势，胜过许多话。
破罐破摔,却有意朝着更坏的方向发展,他失业后破罐破摔。,他失业后却有意朝着更坏的方向发展。
渺无音讯,没有消息,如果你觉得冷并想多要条毯子，可能会想到向司法部长申请，可结果会是渺无音讯。,如果你觉得冷并想多要条毯子，可能会想到向司法部长申请，可结果会是没有消息。
无出其右,没有能超过的,她的散文凝练高雅，多数新闻工作者无出其右。,她的散文凝练高雅，多数新闻工作者没有能超过的。
情同手足,很亲密,他搬去纽约之前和查理情同手足。,他搬去纽约之前和查理很亲密。
虚度年华,浪费时间,人生的每个阶段总是欢乐伴着苦恼，而最幸福的人则是那些既享受人生每一阶段所带来的欢乐，又没有因虚度年华而终生后悔的人。,每个年龄都有快乐和痛苦，最幸福的人就是喜欢每个阶段给他的欢乐，又没有因浪费时间而终生后悔的人。
九死一生,幸存,不料黎明自己漂到这个礁岛上，刚才正是为你祈祷，求佛保佑九死一生。,不料黎明自己漂到这个礁岛上，刚才正是为你祈祷，求佛保佑幸存。
无恶不作,干尽坏事,“我想，与其牺牲优秀的英国人去拯救那帮无恶不作的混蛋，不如让房子被火烧毁。”丘吉尔写道。,“我想，与其牺牲优秀的英国人去拯救那帮干尽坏事的混蛋，不如让房子被火烧毁。”丘吉尔写道。
插科打诨,者大笑,我们认为，新闻应该让一个人笑或插科打诨，但定期新闻组织不明白这一点。,我们认为新闻应该让一个人笑或者大笑，而正常的新闻机构就是不明白这一点。
事过境迁,时代改变,会随事过境迁而改变的，不是爱。,会随时代改变而改变的，不是爱。
的八十五,85,在起初的八十五年间，这场赌博会显得索然无味，年平均回报率仅在2%左右。,在最初85年中，这将是一场非常无趣的赌博，年平均回报率仅为2%左右。
一望无际,广阔,一望无际的沙漠和大片绿洲，形成了独特的自然风貌。,广阔的沙漠和绿洲，形成了独特的自然景观。
冠冕堂皇,虚伪,而你，有那么漂亮的履历冠冕堂皇的说着什么工作规范我以为你会不一样。,而你，有那么漂亮的履历虚伪的说着什么工作规范我以为你会不一样。
积沙成塔,数,理财在某种时候讲求积少成多，积沙成塔。,理财在某种时候讲求积累少数变成多数。
鸟语花香,秀丽,这山光水色，鸟语花香，把整个公园打扮得如人间仙境一般。,这景色秀丽，把整个公园打扮得如人间的仙境一般。
丝丝入扣,细致,在刚果民主共和国，开发署举办了南北基伍性暴力和性别暴力妇女幸存者安全和重返社会经济生活项目，其目的是使生计丝丝入扣地配合司法救助。,在刚果民主共和国，开发署举办了南北基伍性暴力和性别暴力妇女幸存者安全和重返社会经济生活项目，其目的是使生计细致地配合司法救助。
渺无人烟,荒凉,即使是介于埃及边界和喀土穆之间的北部地区，也是渺无人烟的沙漠。,甚即使是介于埃及边界和喀土穆之间的北部地区，也是荒凉的沙漠。
得其所哉,很合适,能够来这里发挥余热，这些退休老人也得其所哉。,能够来这里发挥余热，这些退休老人也很合适。
见异思迁,有坚定决定,不幸的是，他经常是一个见异思迁的人。,不幸的是，他常常不是一个有坚定决定的人。
门可罗雀,根本没有人,原本为球迷排队买票设置的隔离带，根本派不上用场，售票点门可罗雀。,原本为球迷排队买票设置的隔离带，根本派不上用场，售票点根本没有人。
而易见的,然,显而易见的，只有利欲熏心的教授才会设法使用第五条的内容来取代这一条。,显然，只有被利益蒙蔽双眼的教授才会设法使用第五条的内容来取代这一条。
欲盖弥彰,明显地暴露出来,所有迹象都表明政府在欲盖弥彰地阻止它们的存在。,所有迹象都表明政府在明显地暴露出来地阻止它们的存在。
龙飞凤舞,气势奔放,书法精湛优美，龙飞凤舞，洋洋洒洒，我忍不住停下脚步欣赏一番。,书法精湛优美，气势奔放，盛大，我忍不住停下脚步欣赏一番。
洋洋洒洒,盛大,书法精湛优美，龙飞凤舞，洋洋洒洒，我忍不住停下脚步欣赏一番。,书法精湛优美，气势奔放，盛大，我忍不住停下脚步欣赏一番。
守株待兔,狭隘固执,第四条讯息，不要守株待兔。,第四个信息是不要狭隘固执。
苟且偷生,将就着活下去,内森·黑尔宁愿死得英雄，也不愿苟且偷生。,内森·黑尔宁愿死得英雄，也不愿将就着活下去。
平白无故,凭空,卢旺达人在卢旺达对卢旺达人实施种族灭绝，刚果民主共和国却平白无故地成为受害者。,卢旺达人在卢旺达对卢旺达人实施种族灭绝，刚果民主共和国却凭空地成为受害者。
形单影只,一个人,他的成绩开始下滑，讨厌团体活动，总是形单影只。,他的成绩开始下降，他讨厌团体活动，总是一个人。
公众认识,看法,也许更重要的是它能够改变对移民的公众认识，让他们被视为一种祝福，而不是洪水猛兽。,或许更重要的是，它可以改变公众对移徙者的看法，使他们被视为福气而不是祸害。
洪水猛兽,祸害,也许更重要的是它能够改变对移民的公众认识，让他们被视为一种祝福，而不是洪水猛兽。,或许更重要的是，它可以改变公众对移徙者的看法，使他们被视为福气而不是祸害。
梳妆打扮,对容颜衣着进行修饰,我不是非常了解梳妆打扮。,我不是非常了解对容颜衣着进行修饰。
四分五裂,不统一,那个国家被部落间的激烈冲突弄得四分五裂。,那个国家被部落间的激烈冲突弄得不统一。
火冒三丈,非常生气,他一会儿还和蔼可亲，可一转眼就火冒三丈。,他一会儿还和蔼，可一转眼就非常生气。
细枝末节,小问题,我们应当补充一句，在某个时刻，战争常转成肉博，人自为战，分散为无数的细枝末节。拿破仑说过：“那些情节属于各联队的生活史，而不属于大军的历史。”,我们应当补充一句，在某个时刻，战争常转成肉博，人们独自战斗，分散为无数的小问题。拿破仑说过：“那些情节属于各联队的生活史，而不属于大军的历史。”
人云亦云,谣言,我们提倡闻人言而不可不察，反对偏听偏信，人云亦云。,我们提倡闻人言而不可不察，反对相信谣言。
会发现忘,是可以看到跨,我们总会发现忘年交，比如，一个老人和一个年青人在街角一起下象棋。,我们总是可以看到跨年龄段的朋友，比如一位老人和一个年轻人在街角下棋。
上下一心,团结,这实在是整个商业社上下一心、不断努力的成果。政府将会秉承过往的佳绩，再接再厉，从监管架构、企业文化及与业界持续合作等三方面继续推行各种加强企业管治的措施：,这实在是整个商业社团结、不断努力的成果。政府将会秉承过往的佳绩，继续努力再加一把劲，从监管架构、企业文化及与业界持续合作等三方面继续推行各种加强企业管治的措施。
披星戴月,昼夜不停地,此种进展始于男子乘木筏和独木舟披星戴月旅行的年代，随后进展成为现代社会，其中各种活动的重点是落实人权。,此种进展始于男子乘木筏和独木舟昼夜不停地旅行的年代，随后进展成为现代社会，其中各种活动的重点是落实人权。
