src,dst,src_tokenized,dst_tokenized
他们积极地要将这城市推进潮流，结束它离群索居的历史。,他们积极地要将这城市推进潮流，结束它独自居住的历史。,他 们 积 极 地 要 将 这 城 市 推 进 潮 流 ， 结 束 它 离 群 索 居 的 历 史 。,他 们 积 极 地 要 将 这 城 市 推 进 潮 流 ， 结 束 它 独 自 居 住 的 历 史 。
那一带是老区，二楼的窗口间或晒著大花土布做成的被套，就将那古代的桃红柳绿一个竹竿撑进了放满摩托车的回廊。,那一带是老区，二楼的窗口间或晒著大花土布做成的被套，就将那古代的红桃花和绿柳一个竹竿撑进了放满摩托车的回廊。,那 一 带 是 老 区 ， 二 楼 的 窗 口 间 或 晒 著 大 花 土 布 做 成 的 被 套 ， 就 将 那 古 代 的 桃 红 柳 绿 一 个 竹 竿 撑 进 了 放 满 摩 托 车 的 回 廊 。,那 一 带 是 老 区 ， 二 楼 的 窗 口 间 或 晒 著 大 花 土 布 做 成 的 被 套 ， 就 将 那 古 代 的 红 桃 花 和 绿 柳 一 个 竹 竿 撑 进 了 放 满 摩 托 车 的 回 廊 。
她，正以凝神的沉寂，向我乘风破浪的扑压过来。,她，正以凝神的沉寂，向我乘势扑压过来。,她 ， 正 以 凝 神 的 沉 寂 ， 向 我 乘 风 破 浪 的 扑 压 过 来 。,她 ， 正 以 凝 神 的 沉 寂 ， 向 我 乘 势 扑 压 过 来 。
“是的，我将永不撒手这个妇人之仁。”,“是的，我将永不撒手这个妇人的软心肠性子。”,“ 是 的 ， 我 将 永 不 撒 手 这 个 妇 人 之 仁 。 ”,“ 是 的 ， 我 将 永 不 撒 手 这 个 妇 人 的 软 心 肠 性 子 。 ”
诚地伸出手）让我们相亲相爱地活下去吧！,诚地伸出手）让我们相互敬爱地活下去吧！,诚 地 伸 出 手 ） 让 我 们 相 亲 相 爱 地 活 下 去 吧 ！,诚 地 伸 出 手 ） 让 我 们 相 互 敬 爱 地 活 下 去 吧 ！
若是没有这些好处，那里还会有许多新从山东天津搭海船来到的年青巡捕，窜到捕房去学做那种一板一眼的站岗人？”,若是没有这些好处，那里还会有许多新从山东天津搭海船来到的年青巡捕，窜到捕房去学做那种认真负责的站岗人？”,若 是 没 有 这 些 好 处 ， 那 里 还 会 有 许 多 新 从 山 东 天 津 搭 海 船 来 到 的 年 青 巡 捕 ， 窜 到 捕 房 去 学 做 那 种 一 板 一 眼 的 站 岗 人 ？ ”,若 是 没 有 这 些 好 处 ， 那 里 还 会 有 许 多 新 从 山 东 天 津 搭 海 船 来 到 的 年 青 巡 捕 ， 窜 到 捕 房 去 学 做 那 种 认 真 负 责 的 站 岗 人 ？ ”
乘客回答去北京的理由五花八门，有出差的，有做生意的，有投奔亲戚的，有看病的，还有一个是寻找丢失孩子的……,乘客回答去北京的理由很多，有出差的，有做生意的，有投奔亲戚的，有看病的，还有一个是寻找丢失孩子的……,乘 客 回 答 去 北 京 的 理 由 五 花 八 门 ， 有 出 差 的 ， 有 做 生 意 的 ， 有 投 奔 亲 戚 的 ， 有 看 病 的 ， 还 有 一 个 是 寻 找 丢 失 孩 子 的 … …,乘 客 回 答 去 北 京 的 理 由 很 多 ， 有 出 差 的 ， 有 做 生 意 的 ， 有 投 奔 亲 戚 的 ， 有 看 病 的 ， 还 有 一 个 是 寻 找 丢 失 孩 子 的 … …
句话是骗人的；在编辑，地产经纪人，和股票掮客那方面讲起来，这句话是言过其实的。,句话是骗人的；在编辑，地产经纪人，和股票掮客那方面讲起来，这句话是不真实的。,句 话 是 骗 人 的 ； 在 编 辑 ， 地 产 经 纪 人 ， 和 股 票 掮 客 那 方 面 讲 起 来 ， 这 句 话 是 言 过 其 实 的 。,句 话 是 骗 人 的 ； 在 编 辑 ， 地 产 经 纪 人 ， 和 股 票 掮 客 那 方 面 讲 起 来 ， 这 句 话 是 不 真 实 的 。
但是粉碎圆满是可能的吗：麻烦就出在这儿，圆满是无懈可击的呀，无懈可击！,但是粉碎圆满是可能的吗：麻烦就出在这儿，圆满是无法挑剔的呀，无法挑剔！,但 是 粉 碎 圆 满 是 可 能 的 吗 ： 麻 烦 就 出 在 这 儿 ， 圆 满 是 无 懈 可 击 的 呀 ， 无 懈 可 击 ！,但 是 粉 碎 圆 满 是 可 能 的 吗 ： 麻 烦 就 出 在 这 儿 ， 圆 满 是 无 法 挑 剔 的 呀 ， 无 法 挑 剔 ！
他听得二小姐把共产党说成了神出鬼没似的，便觉得非常有趣；“会像雷一样的打到你眼前来么？,他听得二小姐把共产党说成了神神秘秘，便觉得非常有趣；“会像雷一样的打到你眼前来么？,他 听 得 二 小 姐 把 共 产 党 说 成 了 神 出 鬼 没 似 的 ， 便 觉 得 非 常 有 趣 ； “ 会 像 雷 一 样 的 打 到 你 眼 前 来 么 ？,他 听 得 二 小 姐 把 共 产 党 说 成 了 神 神 秘 秘 ， 便 觉 得 非 常 有 趣 ； “ 会 像 雷 一 样 的 打 到 你 眼 前 来 么 ？
正如昔年小女沈霞为鲁莽之医生所误，同样的死不瞑目罢？,正如昔年小女沈霞为鲁莽之医生所误，同样的很不甘心罢？,正 如 昔 年 小 女 沈 霞 为 鲁 莽 之 医 生 所 误 ， 同 样 的 死 不 瞑 目 罢 ？,正 如 昔 年 小 女 沈 霞 为 鲁 莽 之 医 生 所 误 ， 同 样 的 很 不 甘 心 罢 ？
还好，最巷头的那个院子里一个瘸子健谈，他接过了我给他的一包纸烟，拆开了就天女散花一样分别给站在各个门口的人扔去一根，扔去的纸烟没有一根不被在空中接住，然后就围过来说：吓，贵纸烟么！,还好，最巷头的那个院子里一个瘸子健谈，他接过了我给他的一包纸烟，拆开了就抛洒给站在各个门口的人一人一根，扔去的纸烟没有一根不被在空中接住，然后就围过来说：吓，贵纸烟么！,还 好 ， 最 巷 头 的 那 个 院 子 里 一 个 瘸 子 健 谈 ， 他 接 过 了 我 给 他 的 一 包 纸 烟 ， 拆 开 了 就 天 女 散 花 一 样 分 别 给 站 在 各 个 门 口 的 人 扔 去 一 根 ， 扔 去 的 纸 烟 没 有 一 根 不 被 在 空 中 接 住 ， 然 后 就 围 过 来 说 ： 吓 ， 贵 纸 烟 么 ！,还 好 ， 最 巷 头 的 那 个 院 子 里 一 个 瘸 子 健 谈 ， 他 接 过 了 我 给 他 的 一 包 纸 烟 ， 拆 开 了 就 抛 洒 给 站 在 各 个 门 口 的 人 一 人 一 根 ， 扔 去 的 纸 烟 没 有 一 根 不 被 在 空 中 接 住 ， 然 后 就 围 过 来 说 ： 吓 ， 贵 纸 烟 么 ！
她一天到晚讲书，自以为举足轻重，其实━━。,她一天到晚讲书，自以为很重要，其实━━。,她 一 天 到 晚 讲 书 ， 自 以 为 举 足 轻 重 ， 其 实 ━ ━ 。,她 一 天 到 晚 讲 书 ， 自 以 为 很 重 要 ， 其 实 ━ ━ 。
这两句都是深入生活的经验之谈，可是性质有别，借用《易经》里的现成话，前者属于形而下，后者属于形而上。,这两句都是说的深入生活的经验，可是性质有别，借用《易经》里的现成话，前者属于形而下，后者属于形而上。,这 两 句 都 是 深 入 生 活 的 经 验 之 谈 ， 可 是 性 质 有 别 ， 借 用 《 易 经 》 里 的 现 成 话 ， 前 者 属 于 形 而 下 ， 后 者 属 于 形 而 上 。,这 两 句 都 是 说 的 深 入 生 活 的 经 验 ， 可 是 性 质 有 别 ， 借 用 《 易 经 》 里 的 现 成 话 ， 前 者 属 于 形 而 下 ， 后 者 属 于 形 而 上 。
到了广场的走廊下，那儿的地摊边全是买土产的外国人，外面倾盆大雨，走道上仍是一片活泼。,到了广场的走廊下，那儿的地摊边全是买土产的外国人，外面下起大雨，走道上仍是一片活泼。,到 了 广 场 的 走 廊 下 ， 那 儿 的 地 摊 边 全 是 买 土 产 的 外 国 人 ， 外 面 倾 盆 大 雨 ， 走 道 上 仍 是 一 片 活 泼 。,到 了 广 场 的 走 廊 下 ， 那 儿 的 地 摊 边 全 是 买 土 产 的 外 国 人 ， 外 面 下 起 大 雨 ， 走 道 上 仍 是 一 片 活 泼 。
我此时不是猪，我是一个人，不是什么英雄，就是一个心地善良、见义勇为,我此时不是猪，我是一个人，不是什么英雄，就是一个心地善良、十分勇敢的人。,我 此 时 不 是 猪 ， 我 是 一 个 人 ， 不 是 什 么 英 雄 ， 就 是 一 个 心 地 善 良 、 见 义 勇 为,我 此 时 不 是 猪 ， 我 是 一 个 人 ， 不 是 什 么 英 雄 ， 就 是 一 个 心 地 善 良 、 十 分 勇 敢 的 人 。
九月份清理掉满坑满谷的东西，就回来。”,九月份清理掉拥挤的东西，就回来。”,九 月 份 清 理 掉 满 坑 满 谷 的 东 西 ， 就 回 来 。 ”,九 月 份 清 理 掉 拥 挤 的 东 西 ， 就 回 来 。 ”
寻常的人际关系，并不把它看成生死之交。”,寻常的人际关系，并不把它看成挚身好友。”,寻 常 的 人 际 关 系 ， 并 不 把 它 看 成 生 死 之 交 。 ”,寻 常 的 人 际 关 系 ， 并 不 把 它 看 成 挚 身 好 友 。 ”
"""新月麻木了，在她的心目中，爱情，是一个多么崇高""的字眼儿，她憧憬过，她向往过，她思索过，但还没有去寻找过，十八岁的年龄，她""还没有能力清晰地认识爱情，那是一个缥缈的梦，一团朦胧的光，一首无字之歌，一""条通往天际的路，一座遥远的不可企及的宫殿......","""新月麻木了，在她的心目中，爱情，是一个多么崇高""的字眼儿，她憧憬过，她向往过，她思索过，但还没有去寻找过，十八岁的年龄，她""还没有能力清晰地认识爱情，那是一个缥缈的梦，一团朦胧的光，一首无字之歌，一""条通往天际的路，一座遥远的不可求的宫殿......",""" 新 月 麻 木 了 ， 在 她 的 心 目 中 ， 爱 情 ， 是 一 个 多 么 崇 高 "" 的 字 眼 儿 ， 她 憧 憬 过 ， 她 向 往 过 ， 她 思 索 过 ， 但 还 没 有 去 寻 找 过 ， 十 八 岁 的 年 龄 ， 她 "" 还 没 有 能 力 清 晰 地 认 识 爱 情 ， 那 是 一 个 缥 缈 的 梦 ， 一 团 朦 胧 的 光 ， 一 首 无 字 之 歌 ， 一 "" 条 通 往 天 际 的 路 ， 一 座 遥 远 的 不 可 企 及 的 宫 殿 . . . . . .",""" 新 月 麻 木 了 ， 在 她 的 心 目 中 ， 爱 情 ， 是 一 个 多 么 崇 高 "" 的 字 眼 儿 ， 她 憧 憬 过 ， 她 向 往 过 ， 她 思 索 过 ， 但 还 没 有 去 寻 找 过 ， 十 八 岁 的 年 龄 ， 她 "" 还 没 有 能 力 清 晰 地 认 识 爱 情 ， 那 是 一 个 缥 缈 的 梦 ， 一 团 朦 胧 的 光 ， 一 首 无 字 之 歌 ， 一 "" 条 通 往 天 际 的 路 ， 一 座 遥 远 的 不 可 求 的 宫 殿 . . . . . ."
鱼类、人、畜、蟒和猛兽都会丧身于它那贪得无厌的利齿之下。,鱼类、人、畜、蟒和猛兽都会丧身于它那贪婪的利齿之下。,鱼 类 、 人 、 畜 、 蟒 和 猛 兽 都 会 丧 身 于 它 那 贪 得 无 厌 的 利 齿 之 下 。,鱼 类 、 人 、 畜 、 蟒 和 猛 兽 都 会 丧 身 于 它 那 贪 婪 的 利 齿 之 下 。
这个消息对端方来说简直就是绝处逢生，具有感人至深的力量，足以把端方击垮了。,这个消息对端方来说简直就是急救紧囊，具有感人至深的力量，足以把端方击垮了。,这 个 消 息 对 端 方 来 说 简 直 就 是 绝 处 逢 生 ， 具 有 感 人 至 深 的 力 量 ， 足 以 把 端 方 击 垮 了 。,这 个 消 息 对 端 方 来 说 简 直 就 是 急 救 紧 囊 ， 具 有 感 人 至 深 的 力 量 ， 足 以 把 端 方 击 垮 了 。
必须“请示”，逼到他头上的时候，他就强词夺理，把一切责任推到下属身上，发一顿院,必须“请示”，逼到他头上的时候，他就开始胡说，把一切责任推到下属身上，发一顿院,必 须 “ 请 示 ” ， 逼 到 他 头 上 的 时 候 ， 他 就 强 词 夺 理 ， 把 一 切 责 任 推 到 下 属 身 上 ， 发 一 顿 院,必 须 “ 请 示 ” ， 逼 到 他 头 上 的 时 候 ， 他 就 开 始 胡 说 ， 把 一 切 责 任 推 到 下 属 身 上 ， 发 一 顿 院
也不是干等，挨摊打问；在一家卖麻辣烫的摊上，打问出常有三个甘肃男人，带一甘肃小女孩，到这里吃夜宵；便认定是张端端他们，便在这麻辣烫摊前坐下，等几个甘肃人自投罗网。,也不是干等，挨摊打问；在一家卖麻辣烫的摊上，打问出常有三个甘肃男人，带一甘肃小女孩，到这里吃夜宵；便认定是张端端他们，便在这麻辣烫摊前坐下，等几个甘肃人自己找上门来。,也 不 是 干 等 ， 挨 摊 打 问 ； 在 一 家 卖 麻 辣 烫 的 摊 上 ， 打 问 出 常 有 三 个 甘 肃 男 人 ， 带 一 甘 肃 小 女 孩 ， 到 这 里 吃 夜 宵 ； 便 认 定 是 张 端 端 他 们 ， 便 在 这 麻 辣 烫 摊 前 坐 下 ， 等 几 个 甘 肃 人 自 投 罗 网 。,也 不 是 干 等 ， 挨 摊 打 问 ； 在 一 家 卖 麻 辣 烫 的 摊 上 ， 打 问 出 常 有 三 个 甘 肃 男 人 ， 带 一 甘 肃 小 女 孩 ， 到 这 里 吃 夜 宵 ； 便 认 定 是 张 端 端 他 们 ， 便 在 这 麻 辣 烫 摊 前 坐 下 ， 等 几 个 甘 肃 人 自 己 找 上 门 来 。
概括地说，是这样的：我和军代表有私仇，这私仇有两个方面：一是我在慰问团面前说出了曾经被打晕的事，叫军代表很没面子，二是争风吃醋，所以他一直修理我。,概括地说，是这样的：我和军代表有私仇，这私仇有两个方面：一是我在慰问团面前说出了曾经被打晕的事，叫军代表很没面子，二是嫉妒，所以他一直修理我。,概 括 地 说 ， 是 这 样 的 ： 我 和 军 代 表 有 私 仇 ， 这 私 仇 有 两 个 方 面 ： 一 是 我 在 慰 问 团 面 前 说 出 了 曾 经 被 打 晕 的 事 ， 叫 军 代 表 很 没 面 子 ， 二 是 争 风 吃 醋 ， 所 以 他 一 直 修 理 我 。,概 括 地 说 ， 是 这 样 的 ： 我 和 军 代 表 有 私 仇 ， 这 私 仇 有 两 个 方 面 ： 一 是 我 在 慰 问 团 面 前 说 出 了 曾 经 被 打 晕 的 事 ， 叫 军 代 表 很 没 面 子 ， 二 是 嫉 妒 ， 所 以 他 一 直 修 理 我 。
他的脖子像鹿一样长，一伸脖子，鹤立鸡群，闻到天际还没有丞相的气味，便忙里偷闲跑到岗后拉了一泡屎。,他的脖子像鹿一样长，一伸脖子，在人群中十分突出，闻到天际还没有丞相的气味，便抽出时间跑到岗后拉了一泡屎。,他 的 脖 子 像 鹿 一 样 长 ， 一 伸 脖 子 ， 鹤 立 鸡 群 ， 闻 到 天 际 还 没 有 丞 相 的 气 味 ， 便 忙 里 偷 闲 跑 到 岗 后 拉 了 一 泡 屎 。,他 的 脖 子 像 鹿 一 样 长 ， 一 伸 脖 子 ， 在 人 群 中 十 分 突 出 ， 闻 到 天 际 还 没 有 丞 相 的 气 味 ， 便 抽 出 时 间 跑 到 岗 后 拉 了 一 泡 屎 。
然后，样子打出来了，试样的时刻是最精益求精的时刻，针尖大的误差也逃不过她们的眼．睛。,然后，样子打出来了，试样的时刻是最完美的时刻，针尖大的误差也逃不过她们的眼．睛。,然 后 ， 样 子 打 出 来 了 ， 试 样 的 时 刻 是 最 精 益 求 精 的 时 刻 ， 针 尖 大 的 误 差 也 逃 不 过 她 们 的 眼 ． 睛 。,然 后 ， 样 子 打 出 来 了 ， 试 样 的 时 刻 是 最 完 美 的 时 刻 ， 针 尖 大 的 误 差 也 逃 不 过 她 们 的 眼 ． 睛 。
又是“难言也”，想勉为其难，试试。,又是“难言也”，想勉强答应试试。,又 是 “ 难 言 也 ” ， 想 勉 为 其 难 ， 试 试 。,又 是 “ 难 言 也 ” ， 想 勉 强 答 应 试 试 。
来的，如果我们对这个人生一无所求，便也不会那么痛苦了”。,来的，如果我们对这个人生没有追求，便也不会那么痛苦了”。,来 的 ， 如 果 我 们 对 这 个 人 生 一 无 所 求 ， 便 也 不 会 那 么 痛 苦 了 ” 。,来 的 ， 如 果 我 们 对 这 个 人 生 没 有 追 求 ， 便 也 不 会 那 么 痛 苦 了 ” 。
因此，她的耳目给冠晓荷撒下了天罗地网。,因此，她的耳目到处给冠晓荷撒下了圈套。,因 此 ， 她 的 耳 目 给 冠 晓 荷 撒 下 了 天 罗 地 网 。,因 此 ， 她 的 耳 目 到 处 给 冠 晓 荷 撒 下 了 圈 套 。
人们都会说他怪异，但在他眼里，明明生就了一个大活人却象虱子一样活着，才叫真正的怪异，做了虱子还洋洋自得地冷眼瞧人，那是怪异中的怪异。,人们都会说他怪异，但在他眼里，明明生就了一个大活人却象虱子一样活着，才叫真正的怪异，做了虱子还得意地冷眼瞧人，那是怪异中的怪异。,人 们 都 会 说 他 怪 异 ， 但 在 他 眼 里 ， 明 明 生 就 了 一 个 大 活 人 却 象 虱 子 一 样 活 着 ， 才 叫 真 正 的 怪 异 ， 做 了 虱 子 还 洋 洋 自 得 地 冷 眼 瞧 人 ， 那 是 怪 异 中 的 怪 异 。,人 们 都 会 说 他 怪 异 ， 但 在 他 眼 里 ， 明 明 生 就 了 一 个 大 活 人 却 象 虱 子 一 样 活 着 ， 才 叫 真 正 的 怪 异 ， 做 了 虱 子 还 得 意 地 冷 眼 瞧 人 ， 那 是 怪 异 中 的 怪 异 。
大家知道，他经常演唱的的节目都经过千锤百炼，无不精彩。,大家知道，他经常演唱的的节目都经过锤炼，无不精彩。,大 家 知 道 ， 他 经 常 演 唱 的 的 节 目 都 经 过 千 锤 百 炼 ， 无 不 精 彩 。,大 家 知 道 ， 他 经 常 演 唱 的 的 节 目 都 经 过 锤 炼 ， 无 不 精 彩 。
在《译丛》专栏里，有果戈里的《疯人日记》、托尔斯泰的《熊猫》、泰戈尔的诗等，还有剧本、海外文坛消息等，可渭蔚为大观，给人于耳目一新。,在《译丛》专栏里，有果戈里的《疯人日记》、托尔斯泰的《熊猫》、泰戈尔的诗等，还有剧本、海外文坛消息等，可渭盛大，给人于全新的感觉。,在 《 译 丛 》 专 栏 里 ， 有 果 戈 里 的 《 疯 人 日 记 》 、 托 尔 斯 泰 的 《 熊 猫 》 、 泰 戈 尔 的 诗 等 ， 还 有 剧 本 、 海 外 文 坛 消 息 等 ， 可 渭 蔚 为 大 观 ， 给 人 于 耳 目 一 新 。,在 《 译 丛 》 专 栏 里 ， 有 果 戈 里 的 《 疯 人 日 记 》 、 托 尔 斯 泰 的 《 熊 猫 》 、 泰 戈 尔 的 诗 等 ， 还 有 剧 本 、 海 外 文 坛 消 息 等 ， 可 渭 盛 大 ， 给 人 于 全 新 的 感 觉 。
她的花篮里也有了花，这花不是如雨如爆的，却一朵一朵没有间断，细水长流的，竟也聚起了一篮。,她的花篮里也有了花，这花不是如雨如爆的，却一朵一朵没有间断，点滴不间断的，竟也聚起了一篮。,她 的 花 篮 里 也 有 了 花 ， 这 花 不 是 如 雨 如 爆 的 ， 却 一 朵 一 朵 没 有 间 断 ， 细 水 长 流 的 ， 竟 也 聚 起 了 一 篮 。,她 的 花 篮 里 也 有 了 花 ， 这 花 不 是 如 雨 如 爆 的 ， 却 一 朵 一 朵 没 有 间 断 ， 点 滴 不 间 断 的 ， 竟 也 聚 起 了 一 篮 。
我觉得婉小姐今天这一番忙碌大可不必，但安知她看过来，我今天大半天的奔波不是自寻烦恼呢？”,我觉得婉小姐今天这一番忙碌大可不必，但安知她看过来，我今天大半天的奔波不是自己添烦恼呢？”,我 觉 得 婉 小 姐 今 天 这 一 番 忙 碌 大 可 不 必 ， 但 安 知 她 看 过 来 ， 我 今 天 大 半 天 的 奔 波 不 是 自 寻 烦 恼 呢 ？ ”,我 觉 得 婉 小 姐 今 天 这 一 番 忙 碌 大 可 不 必 ， 但 安 知 她 看 过 来 ， 我 今 天 大 半 天 的 奔 波 不 是 自 己 添 烦 恼 呢 ？ ”
我得好好儿地守着祖宗传下来的这个摊子，不能乱踢打，万一有个闪失，毁了家业，百年之后也无脸见亡人！,我得好好儿地守着祖宗传下来的这个摊子，不能乱踢打，万一有个闪失，毁了家业，很多年之后也无脸见亡人！,我 得 好 好 儿 地 守 着 祖 宗 传 下 来 的 这 个 摊 子 ， 不 能 乱 踢 打 ， 万 一 有 个 闪 失 ， 毁 了 家 业 ， 百 年 之 后 也 无 脸 见 亡 人 ！,我 得 好 好 儿 地 守 着 祖 宗 传 下 来 的 这 个 摊 子 ， 不 能 乱 踢 打 ， 万 一 有 个 闪 失 ， 毁 了 家 业 ， 很 多 年 之 后 也 无 脸 见 亡 人 ！
一只三条腿的小凳子被他惨无人道地塞进灶膛，一把老秃了的扫地笤帚也被他戳进了灶王爷乌黑的喉咙。,一只三条腿的小凳子被他无情地塞进灶膛，一把老秃了的扫地笤帚也被他戳进了灶王爷乌黑的喉咙。,一 只 三 条 腿 的 小 凳 子 被 他 惨 无 人 道 地 塞 进 灶 膛 ， 一 把 老 秃 了 的 扫 地 笤 帚 也 被 他 戳 进 了 灶 王 爷 乌 黑 的 喉 咙 。,一 只 三 条 腿 的 小 凳 子 被 他 无 情 地 塞 进 灶 膛 ， 一 把 老 秃 了 的 扫 地 笤 帚 也 被 他 戳 进 了 灶 王 爷 乌 黑 的 喉 咙 。
沙漠很快就越过了，在破晓的阳光中，展现出一片到处都是石头的不毛之地，有一种寂静的美。,沙漠很快就越过了，在破晓的阳光中，展现出一片到处都是石头的荒凉地，有一种寂静的美。,沙 漠 很 快 就 越 过 了 ， 在 破 晓 的 阳 光 中 ， 展 现 出 一 片 到 处 都 是 石 头 的 不 毛 之 地 ， 有 一 种 寂 静 的 美 。,沙 漠 很 快 就 越 过 了 ， 在 破 晓 的 阳 光 中 ， 展 现 出 一 片 到 处 都 是 石 头 的 荒 凉 地 ， 有 一 种 寂 静 的 美 。
镇书记苦求下去的干部，对群众要好言好语，面带微笑，群众再骂，不急不躁，千千万万不敢发生动乱。,镇书记苦求下去的干部，对群众要和蔼好亲近，面带微笑，群众再骂，不着急，千万不敢发生动乱。,镇 书 记 苦 求 下 去 的 干 部 ， 对 群 众 要 好 言 好 语 ， 面 带 微 笑 ， 群 众 再 骂 ， 不 急 不 躁 ， 千 千 万 万 不 敢 发 生 动 乱 。,镇 书 记 苦 求 下 去 的 干 部 ， 对 群 众 要 和 蔼 好 亲 近 ， 面 带 微 笑 ， 群 众 再 骂 ， 不 着 急 ， 千 万 不 敢 发 生 动 乱 。
这就要颂扬曹孟德，他一生做好事不多，把蔡文姬赎回来这件事却是应该大书特书的。,这就要颂扬曹孟德，他一生做好事不多，把蔡文姬赎回来这件事却是应该特别记载的。,这 就 要 颂 扬 曹 孟 德 ， 他 一 生 做 好 事 不 多 ， 把 蔡 文 姬 赎 回 来 这 件 事 却 是 应 该 大 书 特 书 的 。,这 就 要 颂 扬 曹 孟 德 ， 他 一 生 做 好 事 不 多 ， 把 蔡 文 姬 赎 回 来 这 件 事 却 是 应 该 特 别 记 载 的 。
等他摘手时，就如换了个面具似的，那张脸变得生动活泼，猴气可掏。,等他摘手时，就如换了个面具似的，那张脸变得十分生动可爱。,等 他 摘 手 时 ， 就 如 换 了 个 面 具 似 的 ， 那 张 脸 变 得 生 动 活 泼 ， 猴 气 可 掏 。,等 他 摘 手 时 ， 就 如 换 了 个 面 具 似 的 ， 那 张 脸 变 得 十 分 生 动 可 爱 。
便宜的公猪，竟然也嘟嘟哝哝地表示不满。,便宜的公猪，竟然也嘟哝地表示不满。,便 宜 的 公 猪 ， 竟 然 也 嘟 嘟 哝 哝 地 表 示 不 满 。,便 宜 的 公 猪 ， 竟 然 也 嘟 哝 地 表 示 不 满 。
因此，虽然他吃的是粗茶淡饭，住的是一升火就象砖窑似的屋子，穿的是破旧的衣裳，可是他，自青年到老年，老那么活泼结实，直象刚挖出来的一个红萝卜，虽然带着泥土，而鲜伶伶的可爱。,因此，虽然他吃的是粗粮，住的是一升火就象砖窑似的屋子，穿的是破旧的衣裳，可是他，自青年到老年，老那么活泼结实，直象刚挖出来的一个红萝卜，虽然带着泥土，而鲜伶伶的可爱。,因 此 ， 虽 然 他 吃 的 是 粗 茶 淡 饭 ， 住 的 是 一 升 火 就 象 砖 窑 似 的 屋 子 ， 穿 的 是 破 旧 的 衣 裳 ， 可 是 他 ， 自 青 年 到 老 年 ， 老 那 么 活 泼 结 实 ， 直 象 刚 挖 出 来 的 一 个 红 萝 卜 ， 虽 然 带 着 泥 土 ， 而 鲜 伶 伶 的 可 爱 。,因 此 ， 虽 然 他 吃 的 是 粗 粮 ， 住 的 是 一 升 火 就 象 砖 窑 似 的 屋 子 ， 穿 的 是 破 旧 的 衣 裳 ， 可 是 他 ， 自 青 年 到 老 年 ， 老 那 么 活 泼 结 实 ， 直 象 刚 挖 出 来 的 一 个 红 萝 卜 ， 虽 然 带 着 泥 土 ， 而 鲜 伶 伶 的 可 爱 。
小郑管着全镇千家万户的小喇叭，夜里就睡在广播站。,小郑管着全镇每户人家的小喇叭，夜里就睡在广播站。,小 郑 管 着 全 镇 千 家 万 户 的 小 喇 叭 ， 夜 里 就 睡 在 广 播 站 。,小 郑 管 着 全 镇 每 户 人 家 的 小 喇 叭 ， 夜 里 就 睡 在 广 播 站 。
苏东坡的这封感谢信皇帝早已看过，没发现问题，舒亶却苦口婆心地一款一款分析给皇帝听，苏东坡正在反您呢，反得可凶呢，而且已经反到了“流俗翕然，争相传诵，忠义之士，无不愤惋”的程度！,苏东坡的这封感谢信皇帝早已看过，没发现问题，舒亶却耐心地一款一款分析给皇帝听，苏东坡正在反您呢，反得可凶呢，而且已经反到了“流俗翕然，争相传诵，忠义之士，无不愤惋”的程度！,苏 东 坡 的 这 封 感 谢 信 皇 帝 早 已 看 过 ， 没 发 现 问 题 ， 舒 亶 却 苦 口 婆 心 地 一 款 一 款 分 析 给 皇 帝 听 ， 苏 东 坡 正 在 反 您 呢 ， 反 得 可 凶 呢 ， 而 且 已 经 反 到 了 “ 流 俗 翕 然 ， 争 相 传 诵 ， 忠 义 之 士 ， 无 不 愤 惋 ” 的 程 度 ！,苏 东 坡 的 这 封 感 谢 信 皇 帝 早 已 看 过 ， 没 发 现 问 题 ， 舒 亶 却 耐 心 地 一 款 一 款 分 析 给 皇 帝 听 ， 苏 东 坡 正 在 反 您 呢 ， 反 得 可 凶 呢 ， 而 且 已 经 反 到 了 “ 流 俗 翕 然 ， 争 相 传 诵 ， 忠 义 之 士 ， 无 不 愤 惋 ” 的 程 度 ！
余答道：“卑职一定尽心办理，不遗余力。”,余答道：“卑职一定尽心办理，尽全力。”,余 答 道 ： “ 卑 职 一 定 尽 心 办 理 ， 不 遗 余 力 。 ”,余 答 道 ： “ 卑 职 一 定 尽 心 办 理 ， 尽 全 力 。 ”
趁现在年富力强的时候，努力做一种专门学问。,趁现在年轻身体强壮的时候，努力做一种专门学问。,趁 现 在 年 富 力 强 的 时 候 ， 努 力 做 一 种 专 门 学 问 。,趁 现 在 年 轻 身 体 强 壮 的 时 候 ， 努 力 做 一 种 专 门 学 问 。
无论是在拉萨，是在乌鲁木齐，在上海，在鞍山，在波涛汹涌的海洋上，或,无论是在拉萨，是在乌鲁木齐，在上海，在鞍山，在破浪又急又大的海洋上，或,无 论 是 在 拉 萨 ， 是 在 乌 鲁 木 齐 ， 在 上 海 ， 在 鞍 山 ， 在 波 涛 汹 涌 的 海 洋 上 ， 或,无 论 是 在 拉 萨 ， 是 在 乌 鲁 木 齐 ， 在 上 海 ， 在 鞍 山 ， 在 破 浪 又 急 又 大 的 海 洋 上 ， 或
